date,cases
2020/3/6,2
2020/3/7,2
2020/3/8,6
2020/3/9,7
2020/3/10,9
2020/3/11,10
2020/3/12,12
2020/3/13,13
2020/3/14,19
2020/3/15,28
2020/3/16,33
2020/3/17,47
2020/3/18,60
2020/3/19,81
2020/3/20,126
2020/3/21,172
2020/3/22,194
2020/3/23,299
2020/3/24,342
2020/3/25,425
2020/3/26,456
2020/3/27,542
2020/3/28,661
2020/3/29,775
2020/3/30,925
2020/3/31,1083
2020/4/1,1293
2020/4/2,1554
2020/4/3,1700
2020/4/4,1917
2020/4/5,2049
2020/4/6,2232
2020/4/7,2417
2020/4/8,2552
2020/4/9,2792
2020/4/10,3065
2020/4/11,3207
2020/4/12,3319
2020/4/13,3439
2020/4/14,3553
2020/4/15,3656
2020/4/16,3931
2020/4/17,4086
2020/4/18,4246
2020/4/19,4377
2020/4/20,4439
2020/4/21,4608
2020/4/22,4761
2020/4/23,4917
2020/4/24,5070
2020/4/25,5253
2020/4/26,5490
2020/4/27,5613
2020/4/28,5735
2020/4/29,5881
2020/4/30,6095
2020/5/1,6258
2020/5/2,6489
2020/5/3,6626
2020/5/4,6757
2020/5/5,6841
2020/5/6,6936
2020/5/7,7142
2020/5/8,7367
2020/5/9,7531
2020/5/10,7653
2020/5/11,7792
2020/5/12,7927
2020/5/13,8030
2020/5/14,8189
2020/5/15,8407
2020/5/16,8661
2020/5/17,8816
2020/5/18,8942
2020/5/19,9056
2020/5/20,9175
2020/5/21,9379
2020/5/22,9638
2020/5/23,9895
2020/5/24,10096
2020/5/25,10178
2020/5/26,10416
2020/5/27,10623
2020/5/28,10788
2020/5/29,11131
2020/5/30,11394
2020/5/31,11861
2020/6/1,12148
2020/6/2,12415
2020/6/3,12651
2020/6/4,13005
2020/6/5,13453
2020/6/6,13916
2020/6/7,14286
2020/6/8,14800
2020/6/9,15228
2020/6/10,15759
2020/6/11,16441
2020/6/12,17170
2020/6/13,17955
2020/6/14,18796
2020/6/15,19381
2020/6/16,19995
2020/6/17,20556
2020/6/18,21548
2020/6/19,22631
2020/6/20,23786
2020/6/21,24693
2020/6/22,25701
2020/6/23,26613
2020/6/24,27897
2020/6/25,29022
2020/6/26,30335
2020/6/27,31939
2020/6/28,33320
2020/6/29,34644
2020/6/30,36399
2020/7/1,37919
2020/7/2,39701
2020/7/3,41532
2020/7/4,43386
2020/7/5,44847
2020/7/6,46380
2020/7/7,47352
2020/7/8,48909
2020/7/9,50691
2020/7/10,52419
2020/7/11,54699
2020/7/12,56648
2020/7/13,58168
2020/7/14,60389
2020/7/15,62245
2020/7/16,64083
2020/7/17,66060
2020/7/18,67612
2020/7/19,69986
2020/7/20,71445
2020/7/21,73337
2020/7/22,75042
2020/7/23,76606
2020/7/24,78607
2020/7/25,80008
2020/7/26,81199
2020/7/27,82417
2020/7/28,84109
2020/7/29,85846
2020/7/30,87572
2020/7/31,89016
2020/8/1,90599
2020/8/2,91788
2020/8/3,92951
2020/8/4,94190
2020/8/5,95472
2020/8/6,96797
2020/8/7,98219
2020/8/8,99460
2020/8/9,100435
2020/8/10,101159
2020/8/11,102130
2020/8/12,102974
2020/8/13,103909
2020/8/14,104841
2020/8/15,105882
2020/8/16,106497
2020/8/17,106953
2020/8/18,107672
2020/8/19,108411
2020/8/20,109320
2020/8/21,110378
2020/8/22,111295
2020/8/23,111988
2020/8/24,112551
2020/8/25,113488
2020/8/26,114093
2020/8/27,114598
2020/8/28,115951
2020/8/29,117249
2020/8/30,118324
2020/8/31,118992
2020/9/1,119846
2020/9/2,120503
2020/9/3,121696
2020/9/4,123325
2020/9/5,124289
2020/9/6,124952
2020/9/7,125607
2020/9/8,125908
2020/9/9,126213
2020/9/10,126592
2020/9/11,129046
2020/9/12,129978
2020/9/13,131864
2020/9/14,132680
2020/9/15,133470
2020/9/16,134122
2020/9/17,135446
2020/9/18,136318
2020/9/19,137240
2020/9/20,137708
2020/9/21,138124
2020/9/22,140789
2020/9/23,141686
2020/9/24,142707
2020/9/25,143902
2020/9/26,145273
2020/9/27,145887
2020/9/28,146455
2020/9/29,147634
2020/9/30,147942
2020/10/1,148323
2020/10/2,149185
2020/10/3,150891
2020/10/4,151582
2020/10/5,152159
2020/10/6,152970
2020/10/7,153705
2020/10/8,154755
2020/10/9,155676
2020/10/10,156621
2020/10/11,157406
2020/10/12,158055
2020/10/13,158883
2020/10/14,159809
2020/10/15,161106
2020/10/16,162253
2020/10/17,163214
2020/10/18,163990
2020/10/19,164609
2020/10/20,165493
2020/10/21,166357
2020/10/22,167485
2020/10/23,168549
2020/10/24,169341
2020/10/25,170678
2020/10/26,171501
2020/10/27,172579
2020/10/28,173491
2020/10/29,174591
2020/10/30,175594
2020/10/31,176612
2020/11/1,178023
2020/11/2,178917
2020/11/3,179952
2020/11/4,180870
2020/11/5,181639
2020/11/6,182872
2020/11/7,184742
2020/11/8,185688
2020/11/9,186391
2020/11/10,187738
2020/11/11,188995
2020/11/12,190490
2020/11/13,192101
2020/11/14,194014
2020/11/15,195507
2020/11/16,196617
2020/11/17,197900
2020/11/18,199447
2020/11/19,201160
2020/11/20,203161
2020/11/21,205018
2020/11/22,206295
2020/11/23,207552
2020/11/24,209230
2020/11/25,210905
2020/11/26,210905
2020/11/27,213120
2020/11/28,214911
2020/11/29,216129
2020/11/30,217487
2020/12/1,218912
2020/12/2,220835
2020/12/3,223063
2020/12/4,226013
2020/12/5,229235
2020/12/6,232099
2020/12/7,234652
2020/12/8,236954
2020/12/9,239444
2020/12/10,241686
2020/12/11,245226
2020/12/12,248798
2020/12/13,252206
2020/12/14,254776
2020/12/15,257320
2020/12/16,260119
2020/12/17,262774
2020/12/18,267076
2020/12/19,270537
2020/12/20,273406
2020/12/21,275733
2020/12/22,278055
2020/12/23,282230
2020/12/24,285028
2020/12/25,285028
2020/12/26,288892
2020/12/27,296179
2020/12/28,298050
2020/12/29,300602
2020/12/30,303475
2020/12/31,307507
2021/1/1,307507
2021/1/2,312718
2021/1/3,321669
2021/1/4,325472
2021/1/5,328073
2021/1/6,333235
2021/1/7,338112
2021/1/8,344176
2021/1/9,350084
2021/1/10,354525
2021/1/11,357654
2021/1/12,359357
2021/1/13,365378
2021/1/14,371180
2021/1/15,375967
2021/1/16,382422
2021/1/17,388184
2021/1/18,391464
2021/1/19,394318
2021/1/20,399843
2021/1/21,404492
2021/1/22,409188
2021/1/23,413789
2021/1/24,418325
2021/1/25,421417
2021/1/26,423667
2021/1/27,427231
2021/1/28,431169
2021/1/29,435633
2021/1/30,439785
2021/1/31,443386
2021/2/1,445916
2021/2/2,447904
2021/2/3,450794
2021/2/4,453878
2021/2/5,459974
2021/2/6,462981
2021/2/7,466373
2021/2/8,468403
2021/2/9,470311
2021/2/10,473140
2021/2/11,476287
2021/2/12,480157
2021/2/13,483140
2021/2/14,487293
2021/2/15,489018
2021/2/16,490453
2021/2/17,492369
2021/2/18,495044
2021/2/19,497937
2021/2/20,501277
2021/2/21,504149
2021/2/22,505589
2021/2/23,506912
2021/2/24,509044
2021/2/25,511546
2021/2/26,513295
2021/2/27,515072
2021/2/28,516823
2021/3/1,517976
2021/3/2,518823
2021/3/3,519996
2021/3/4,521563
2021/3/5,523258
2021/3/6,524457
2021/3/7,525865
2021/3/8,526716
2021/3/9,527348
2021/3/10,528473
2021/3/11,529392
2021/3/12,530880
2021/3/13,532549
2021/3/14,533421
2021/3/15,534188
2021/3/16,534869
2021/3/17,536100
2021/3/18,537498
2021/3/19,538801
2021/3/20,540390
2021/3/21,541582
2021/3/22,542203
2021/3/23,542912
2021/3/24,543925
2021/3/25,545254
2021/3/26,546670
2021/3/27,548114
2021/3/28,549199
2021/3/29,550068
2021/3/30,550669
2021/3/31,551630
2021/4/1,552681
2021/4/2,554031
2021/4/3,555274
2021/4/4,555274
2021/4/5,556469
2021/4/6,557803
2021/4/7,558631
2021/4/8,559597
2021/4/9,560762
2021/4/10,561773
2021/4/11,562691
2021/4/12,563427
2021/4/13,564128
2021/4/14,564931
2021/4/15,566018
2021/4/16,567277
2021/4/17,568258
2021/4/18,569279
2021/4/19,570032
2021/4/20,570606
2021/4/21,571369
2021/4/22,572248
2021/4/23,573225
2021/4/24,574226
2021/4/25,574985
2021/4/26,575515
2021/4/27,575956
2021/4/28,576639
2021/4/29,577550
2021/4/30,578659
2021/5/1,579556
2021/5/2,580273
2021/5/3,580794
2021/5/4,581221
2021/5/5,581835
2021/5/6,582506
2021/5/7,583373
2021/5/8,583996
2021/5/9,584517
2021/5/10,584932
2021/5/11,585219
2021/5/12,585601
2021/5/13,585957
2021/5/14,586585
2021/5/15,588110
2021/5/16,588593
2021/5/17,588939
2021/5/18,589098
2021/5/19,589488
2021/5/20,589846
2021/5/21,590314
2021/5/22,590645
2021/5/23,590981
2021/5/24,591365
2021/5/25,591525
2021/5/26,591862
2021/5/27,592243
2021/5/28,592651
2021/5/29,592912
2021/5/30,593092
2021/5/31,593262
2021/6/1,593262
2021/6/2,593526
2021/6/3,593628
2021/6/4,593727
2021/6/5,593948
2021/6/6,594130
2021/6/7,594225
2021/6/8,594345
2021/6/9,594574
2021/6/10,594659
2021/6/11,594805
2021/6/12,594805
2021/6/13,594877
2021/6/14,595201
2021/6/15,595285
2021/6/16,595310
2021/6/17,595361
2021/6/18,595448
2021/6/19,595448
2021/6/20,595448
2021/6/21,595750
2021/6/22,595813
2021/6/23,595901
2021/6/24,596032
2021/6/25,596144
2021/6/26,596144
2021/6/27,596144
2021/6/28,596616
2021/6/29,596712
2021/6/30,596840
2021/7/1,597021
2021/7/2,597261
2021/7/3,597261
2021/7/4,597261
2021/7/5,597961
2021/7/6,598093
2021/7/7,598229
2021/7/8,598511
2021/7/9,598918
2021/7/10,598918
2021/7/11,598918
2021/7/12,600027
2021/7/13,600283
2021/7/14,600607
2021/7/15,601232
2021/7/16,601803
2021/7/17,601803
2021/7/18,601803
2021/7/19,603641
2021/7/20,603973
2021/7/21,604650
2021/7/22,605590
2021/7/23,606833
2021/7/24,606833
2021/7/25,606833
2021/7/26,610477
2021/7/27,611594
2021/7/28,613033
2021/7/29,614912
2021/7/30,617148
2021/7/31,617148
2021/8/1,617148
2021/8/2,623947
2021/8/3,626038
2021/8/4,628202
2021/8/5,631037
2021/8/6,634310
2021/8/7,634310
2021/8/8,634310
2021/8/9,643621
2021/8/10,645859
2021/8/11,648508
2021/8/12,651787
2021/8/13,656313
2021/8/14,656313
2021/8/15,656313
2021/8/16,667352
2021/8/17,669638
2021/8/18,673172
2021/8/19,676431
2021/8/20,681659
2021/8/21,681659
2021/8/22,681659
2021/8/23,695489
2021/8/24,699197
2021/8/25,702894
2021/8/26,707435
2021/8/27,714265
2021/8/28,714265
2021/8/29,714265
2021/8/30,730685
2021/8/31,735287
2021/9/1,740634
2021/9/2,746157
2021/9/3,752378
2021/9/4,752378
2021/9/5,752378
2021/9/6,769402
2021/9/7,773185
2021/9/8,776342
2021/9/9,779898
2021/9/10,784052
2021/9/11,784052
2021/9/12,784052
2021/9/13,802328
2021/9/14,806597
2021/9/15,809779
2021/9/16,814254
2021/9/17,819204
2021/9/18,819204
2021/9/19,819204
2021/9/20,830260
2021/9/21,832466
2021/9/22,834880
2021/9/23,838079
2021/9/24,841600
2021/9/25,841600
2021/9/26,841600
2021/9/27,850188
2021/9/28,852006
2021/9/29,854874
2021/9/30,857386
2021/10/1,860369
2021/10/2,860369
2021/10/3,860369
2021/10/4,867315
2021/10/5,868574
2021/10/6,869838
2021/10/7,872011
2021/10/8,874013
2021/10/9,874013
2021/10/10,874013
2021/10/11,879012
2021/10/12,879985
2021/10/13,880984
2021/10/14,882455
2021/10/15,883982
2021/10/16,883982
2021/10/17,883982
2021/10/18,887535
2021/10/19,888189
2021/10/20,889096
2021/10/21,890003
2021/10/22,891072
2021/10/23,891072
2021/10/24,891072
2021/10/25,893626
2021/10/26,894221
2021/10/27,894924
2021/10/28,895738
2021/10/29,897152
2021/10/30,897152
2021/10/31,897152
2021/11/1,899481
2021/11/2,899912
2021/11/3,900464
2021/11/4,901314
2021/11/5,902329
2021/11/6,902329
2021/11/7,902329
2021/11/8,904293
2021/11/9,904689
2021/11/10,905182
2021/11/11,905182
2021/11/12,906945
2021/11/13,906945
2021/11/14,906945
2021/11/15,908839
2021/11/16,909282
2021/11/17,909905
2021/11/18,910690
2021/11/19,911624
2021/11/20,911624
2021/11/21,911624
2021/11/22,913950
2021/11/23,914384
2021/11/24,914946
2021/11/25,914946
2021/11/26,915671
2021/11/27,915671
2021/11/28,915671
2021/11/29,917833
2021/11/30,918321
2021/12/1,919184
2021/12/2,920311
2021/12/3,921722
2021/12/4,921722
2021/12/5,921722
2021/12/6,924957
2021/12/7,925629
2021/12/8,926454
2021/12/9,927649
2021/12/10,929077
2021/12/11,929077
2021/12/12,929077
2021/12/13,932206
2021/12/14,932938
2021/12/15,933754
2021/12/16,934880
2021/12/17,936207
2021/12/18,936207
2021/12/19,936207
2021/12/20,940135
2021/12/21,941029
2021/12/22,942359
2021/12/23,944574
2021/12/24,944574
2021/12/25,944574
2021/12/26,944574
2021/12/27,944574
2021/12/28,944574
2021/12/29,960195
2021/12/30,966259
2021/12/31,975320
2022/1/1,975320
2022/1/2,975320
2022/1/3,975320
2022/1/4,1011271
2022/1/5,1018435
2022/1/6,1035256
2022/1/7,1048252
2022/1/8,1048252
2022/1/9,1048252
2022/1/10,1094226
2022/1/11,1102603
2022/1/12,1114781
2022/1/13,1132825
2022/1/14,1153125
2022/1/15,1153125
2022/1/16,1153125
2022/1/17,1153125
2022/1/18,1225570
2022/1/19,1236732
2022/1/20,1249632
2022/1/21,1265710
2022/1/22,1265710
2022/1/23,1265710
2022/1/24,1265710
2022/1/25,1265710
2022/1/26,1328450
2022/1/27,1338384
2022/1/28,1355116
2022/1/29,1355116
2022/1/30,1355116
2022/1/31,1385019
2022/2/1,1389266
2022/2/2,1394651
2022/2/3,1400276
2022/2/4,1406933
2022/2/5,1406933
2022/2/6,1406933
2022/2/7,1421539
2022/2/8,1423919
2022/2/9,1427869
2022/2/10,1431067
2022/2/11,1431067
2022/2/12,1431067
2022/2/13,1431067
2022/2/14,1442546
2022/2/15,1443723
2022/2/16,1445381
2022/2/17,1447557
2022/2/18,1449637
2022/2/19,1449637
2022/2/20,1449637
2022/2/21,1449637
2022/2/22,1455967
2022/2/23,1456990
2022/2/24,1458075
2022/2/25,1459070
2022/2/26,1459070
2022/2/27,1459070
2022/2/28,1461155
2022/3/1,1461426
2022/3/2,1461805
2022/3/3,1462329
2022/3/4,1462846
2022/3/5,1462846
2022/3/6,1462846
