date,cases
2020/3/10,5
2020/3/11,8
2020/3/12,8
2020/3/13,9
2020/3/14,9
2020/3/15,9
2020/3/16,10
2020/3/17,11
2020/3/18,11
2020/3/19,14
2020/3/20,14
2020/3/21,14
2020/3/22,21
2020/3/23,28
2020/3/24,30
2020/3/25,41
2020/3/26,46
2020/3/27,58
2020/3/28,68
2020/3/29,90
2020/3/30,100
2020/3/31,107
2020/4/1,129
2020/4/2,165
2020/4/3,187
2020/4/4,212
2020/4/5,240
2020/4/6,288
2020/4/7,320
2020/4/8,393
2020/4/9,447
2020/4/10,536
2020/4/11,626
2020/4/12,729
2020/4/13,867
2020/4/14,987
2020/4/15,1168
2020/4/16,1311
2020/4/17,1411
2020/4/18,1541
2020/4/19,1635
2020/4/20,1685
2020/4/21,1755
2020/4/22,1858
2020/4/23,1956
2020/4/24,2040
2020/4/25,2147
2020/4/26,2213
2020/4/27,2246
2020/4/28,2314
2020/4/29,2375
2020/4/30,2450
2020/5/1,2525
2020/5/2,2587
2020/5/3,2630
2020/5/4,2667
2020/5/5,2720
2020/5/6,2779
2020/5/7,2905
2020/5/8,3144
2020/5/9,3393
2020/5/10,3517
2020/5/11,3614
2020/5/12,3663
2020/5/13,3732
2020/5/14,3792
2020/5/15,3887
2020/5/16,3959
2020/5/17,3987
2020/5/18,4027
2020/5/19,4085
2020/5/20,4177
2020/5/21,4177
2020/5/22,4356
2020/5/23,4468
2020/5/24,4563
2020/5/25,4586
2020/5/26,4653
2020/5/27,4710
2020/5/28,4793
2020/5/29,4866
2020/5/30,4960
2020/5/31,4993
2020/6/1,5034
2020/6/2,5066
2020/6/3,5161
2020/6/4,5247
2020/6/5,5277
2020/6/6,5367
2020/6/7,5438
2020/6/8,5471
2020/6/9,5523
2020/6/10,5604
2020/6/11,5665
2020/6/12,5742
2020/6/13,5833
2020/6/14,5898
2020/6/15,5928
2020/6/16,5966
2020/6/17,6050
2020/6/18,6109
2020/6/19,6158
2020/6/20,6225
2020/6/21,6297
2020/6/22,6326
2020/6/23,6353
2020/6/24,6419
2020/6/25,6479
2020/6/26,6535
2020/6/27,6626
2020/6/28,6681
2020/6/29,6716
2020/6/30,6764
2020/7/1,6826
2020/7/2,6893
2020/7/3,6978
2020/7/4,7028
2020/7/5,7063
2020/7/6,7105
2020/7/7,7163
2020/7/8,7242
2020/7/9,7336
2020/7/10,7401
2020/7/11,7454
2020/7/12,7499
2020/7/13,7524
2020/7/14,7572
2020/7/15,7652
2020/7/16,7694
2020/7/17,7789
2020/7/18,7862
2020/7/19,7906
2020/7/20,7943
2020/7/21,8019
2020/7/22,8077
2020/7/23,8143
2020/7/24,8200
2020/7/25,8305
2020/7/26,8395
2020/7/27,8444
2020/7/28,8492
2020/7/29,8641
2020/7/30,8685
2020/7/31,8764
2020/8/1,8867
2020/8/2,8955
2020/8/3,9020
2020/8/4,9079
2020/8/5,9168
2020/8/6,9273
2020/8/7,9371
2020/8/8,9477
2020/8/9,9605
2020/8/10,9663
2020/8/11,9713
2020/8/12,9815
2020/8/13,9897
2020/8/14,10024
2020/8/15,10118
2020/8/16,10274
2020/8/17,10360
2020/8/18,10443
2020/8/19,10566
2020/8/20,10691
2020/8/21,10884
2020/8/22,11135
2020/8/23,11276
2020/8/24,11425
2020/8/25,11507
2020/8/26,11627
2020/8/27,12194
2020/8/28,12517
2020/8/29,12942
2020/8/30,13322
2020/8/31,13509
2020/9/1,13749
2020/9/2,14003
2020/9/3,14337
2020/9/4,14596
2020/9/5,14889
2020/9/6,15109
2020/9/7,15300
2020/9/8,15403
2020/9/9,15571
2020/9/10,15834
2020/9/11,16117
2020/9/12,16437
2020/9/13,16638
2020/9/14,16801
2020/9/15,16994
2020/9/16,17291
2020/9/17,17686
2020/9/18,18075
2020/9/19,18444
2020/9/20,18696
2020/9/21,18869
2020/9/22,19189
2020/9/23,19634
2020/9/24,20097
2020/9/25,20554
2020/9/26,21133
2020/9/27,21541
2020/9/28,21738
2020/9/29,21997
2020/9/30,22389
2020/10/1,23136
2020/10/2,23522
2020/10/3,23986
2020/10/4,24418
2020/10/5,24598
2020/10/6,24876
2020/10/7,25906
2020/10/8,26441
2020/10/9,27215
2020/10/10,27947
2020/10/11,28564
2020/10/12,28925
2020/10/13,29339
2020/10/14,30215
2020/10/15,31012
2020/10/16,31805
2020/10/17,32611
2020/10/18,33269
2020/10/19,33836
2020/10/20,34457
2020/10/21,35044
2020/10/22,36017
2020/10/23,37202
2020/10/24,38141
2020/10/25,39203
2020/10/26,39741
2020/10/27,40730
2020/10/28,42000
2020/10/29,43000
2020/10/30,44559
2020/10/31,45992
2020/11/1,47324
2020/11/2,47850
2020/11/3,48854
2020/11/4,49791
2020/11/5,51151
2020/11/6,52639
2020/11/7,53976
2020/11/8,55404
2020/11/9,56311
2020/11/10,57334
2020/11/11,58696
2020/11/12,60716
2020/11/13,62327
2020/11/14,64182
2020/11/15,65381
2020/11/16,66278
2020/11/17,67284
2020/11/18,68671
2020/11/19,69742
2020/11/20,71070
2020/11/21,72214
2020/11/22,73065
2020/11/23,73848
2020/11/24,74859
2020/11/25,76142
2020/11/26,76142
2020/11/27,78280
2020/11/28,79099
2020/11/29,79900
2020/11/30,80464
2020/12/1,80912
2020/12/2,82203
2020/12/3,83348
2020/12/4,84398
2020/12/5,85304
2020/12/6,85991
2020/12/7,86500
2020/12/8,87038
2020/12/9,88023
2020/12/10,88727
2020/12/11,89672
2020/12/12,90407
2020/12/13,91038
2020/12/14,91354
2020/12/15,91699
2020/12/16,92604
2020/12/17,93197
2020/12/18,93772
2020/12/19,94336
2020/12/20,94727
2020/12/21,95074
2020/12/22,95509
2020/12/23,96040
2020/12/24,96546
2020/12/25,96546
2020/12/26,96963
2020/12/27,97390
2020/12/28,97658
2020/12/29,98158
2020/12/30,98720
2020/12/31,99164
2021/1/1,99164
2021/1/2,99829
2021/1/3,100532
2021/1/4,100643
2021/1/5,101076
2021/1/6,101684
2021/1/7,102132
2021/1/8,102580
2021/1/9,102901
2021/1/10,103318
2021/1/11,103499
2021/1/12,103743
2021/1/13,104195
2021/1/14,104512
2021/1/15,104937
2021/1/16,105278
2021/1/17,105544
2021/1/18,105659
2021/1/19,105786
2021/1/20,106063
2021/1/21,106400
2021/1/22,106716
2021/1/23,106963
2021/1/24,107148
2021/1/25,107180
2021/1/26,107380
2021/1/27,107608
2021/1/28,107795
2021/1/29,107955
2021/1/30,108070
2021/1/31,108250
2021/2/1,108315
2021/2/2,108431
2021/2/3,108639
2021/2/4,108813
2021/2/5,108944
2021/2/6,109132
2021/2/7,109229
2021/2/8,109283
2021/2/9,109405
2021/2/10,109580
2021/2/11,109859
2021/2/12,110068
2021/2/13,110205
2021/2/14,110315
2021/2/15,110376
2021/2/16,110593
2021/2/17,110685
2021/2/18,110871
2021/2/19,111018
2021/2/20,111165
2021/2/21,111304
2021/2/22,111334
2021/2/23,111546
2021/2/24,111808
2021/2/25,111964
2021/2/26,112107
2021/2/27,112293
2021/2/28,112427
2021/3/1,112470
2021/3/2,112652
2021/3/3,112833
2021/3/4,113065
2021/3/5,113229
2021/3/6,113378
2021/3/7,113589
2021/3/8,113596
2021/3/9,113753
2021/3/10,113962
2021/3/11,114163
2021/3/12,114347
2021/3/13,114493
2021/3/14,114623
2021/3/15,114649
2021/3/16,114791
2021/3/17,114966
2021/3/18,115203
2021/3/19,115518
2021/3/20,115723
2021/3/21,115867
2021/3/22,115972
2021/3/23,116100
2021/3/24,116370
2021/3/25,116624
2021/3/26,116833
2021/3/27,117081
2021/3/28,117244
2021/3/29,117336
2021/3/30,117495
2021/3/31,117759
2021/4/1,117989
2021/4/2,118186
2021/4/3,118361
2021/4/4,118361
2021/4/5,118517
2021/4/6,118680
2021/4/7,118975
2021/4/8,119197
2021/4/9,119467
2021/4/10,119705
2021/4/11,119705
2021/4/12,119892
2021/4/13,120154
2021/4/14,120379
2021/4/15,120613
2021/4/16,120856
2021/4/17,121056
2021/4/18,121056
2021/4/19,121189
2021/4/20,121360
2021/4/21,121517
2021/4/22,121651
2021/4/23,121850
2021/4/24,121986
2021/4/25,121986
2021/4/26,122080
2021/4/27,122228
2021/4/28,122398
2021/4/29,122532
2021/4/30,122660
2021/5/1,122660
2021/5/2,122660
2021/5/3,122745
2021/5/4,122974
2021/5/5,123073
2021/5/6,123157
2021/5/7,123233
2021/5/8,123233
2021/5/9,123233
2021/5/10,123310
2021/5/11,123435
2021/5/12,123518
2021/5/13,123599
2021/5/14,123644
2021/5/15,123644
2021/5/16,123644
2021/5/17,123686
2021/5/18,123784
2021/5/19,123822
2021/5/20,123877
2021/5/21,123911
2021/5/22,123911
2021/5/23,123911
2021/5/24,123942
2021/5/25,124023
2021/5/26,124071
2021/5/27,124105
2021/5/28,124162
2021/5/29,124162
2021/5/30,124162
2021/5/31,124191
2021/6/1,124191
2021/6/2,124227
2021/6/3,124242
2021/6/4,124261
2021/6/5,124261
2021/6/6,124261
2021/6/7,124273
2021/6/8,124302
2021/6/9,124314
2021/6/10,124335
2021/6/11,124343
2021/6/12,124343
2021/6/13,124356
2021/6/14,124356
2021/6/15,124377
2021/6/16,124382
2021/6/17,124393
2021/6/18,124393
2021/6/19,124393
2021/6/20,124393
2021/6/21,124411
2021/6/22,124446
2021/6/23,124468
2021/6/24,124478
2021/6/25,124492
2021/6/26,124492
2021/6/27,124492
2021/6/28,124512
2021/6/29,124521
2021/6/30,124536
2021/7/1,124561
2021/7/2,124582
2021/7/3,124582
2021/7/4,124582
2021/7/5,124582
2021/7/6,124582
2021/7/7,124641
2021/7/8,124641
2021/7/9,124641
2021/7/10,124641
2021/7/11,124641
2021/7/12,124641
2021/7/13,124641
2021/7/14,124750
2021/7/15,124750
2021/7/16,124750
2021/7/17,124750
2021/7/18,124750
2021/7/19,124750
2021/7/20,124750
2021/7/21,124948
2021/7/22,124948
2021/7/23,124948
2021/7/24,124948
2021/7/25,124948
2021/7/26,124948
2021/7/27,124948
2021/7/28,125216
2021/7/29,125216
2021/7/30,125216
2021/7/31,125216
2021/8/1,125216
2021/8/2,125216
2021/8/3,125216
2021/8/4,125592
2021/8/5,125592
2021/8/6,125592
2021/8/7,125592
2021/8/8,125592
2021/8/9,125592
2021/8/10,125592
2021/8/11,126454
2021/8/12,126607
2021/8/13,126746
