date,cases
2020/1/22,1
2020/1/23,1
2020/1/24,3
2020/1/25,3
2020/1/26,4
2020/1/27,5
2020/1/28,8
2020/1/29,8
2020/1/30,9
2020/1/31,10
2020/2/1,10
2020/2/2,10
2020/2/3,10
2020/2/4,11
2020/2/5,11
2020/2/6,16
2020/2/7,16
2020/2/8,17
2020/2/9,18
2020/2/10,18
2020/2/11,18
2020/2/12,18
2020/2/13,18
2020/2/14,18
2020/2/15,18
2020/2/16,20
2020/2/17,22
2020/2/18,22
2020/2/19,23
2020/2/20,24
2020/2/21,26
2020/2/22,26
2020/2/23,28
2020/2/24,30
2020/2/25,31
2020/2/26,32
2020/2/27,32
2020/2/28,34
2020/2/29,39
2020/3/1,40
2020/3/2,41
2020/3/3,42
2020/3/4,42
2020/3/5,44
2020/3/6,45
2020/3/7,45
2020/3/8,45
2020/3/9,45
2020/3/10,47
2020/3/11,48
2020/3/12,49
2020/3/13,50
2020/3/14,53
2020/3/15,59
2020/3/16,67
2020/3/17,77
2020/3/18,100
2020/3/19,108
2020/3/20,135
2020/3/21,153
2020/3/22,169
2020/3/23,195
2020/3/24,215
2020/3/25,235
2020/3/26,252
2020/3/27,267
2020/3/28,283
2020/3/29,298
2020/3/30,306
2020/3/31,322
2020/4/1,329
2020/4/2,339
2020/4/3,348
2020/4/4,355
2020/4/5,363
2020/4/6,373
2020/4/7,376
2020/4/8,379
2020/4/9,380
2020/4/10,382
2020/4/11,385
2020/4/12,388
2020/4/13,393
2020/4/14,393
2020/4/15,395
2020/4/16,395
2020/4/17,395
2020/4/18,398
2020/4/19,420
2020/4/20,422
2020/4/21,425
2020/4/22,426
2020/4/23,427
2020/4/24,428
2020/4/25,429
2020/4/26,429
2020/4/27,429
2020/4/28,429
2020/4/29,429
2020/4/30,429
2020/5/1,429
2020/5/2,432
2020/5/3,436
2020/5/4,438
2020/5/5,438
2020/5/6,439
2020/5/7,440
2020/5/8,440
2020/5/9,440
2020/5/10,440
2020/5/11,440
2020/5/12,440
2020/5/13,440
2020/5/14,440
2020/5/15,440
2020/5/16,440
2020/5/17,440
2020/5/18,440
2020/5/19,440
2020/5/20,440
2020/5/21,440
2020/5/22,441
2020/5/23,441
2020/5/24,441
2020/5/25,441
2020/5/26,441
2020/5/27,441
2020/5/28,441
2020/5/29,442
2020/5/30,442
2020/5/31,442
2020/6/1,443
2020/6/2,443
2020/6/3,443
2020/6/4,443
2020/6/5,443
2020/6/6,443
2020/6/7,443
2020/6/8,443
2020/6/9,443
2020/6/10,443
2020/6/11,443
2020/6/12,443
2020/6/13,443
2020/6/14,443
2020/6/15,445
2020/6/16,445
2020/6/17,445
2020/6/18,446
2020/6/19,446
2020/6/20,446
2020/6/21,446
2020/6/22,446
2020/6/23,446
2020/6/24,446
2020/6/25,447
2020/6/26,447
2020/6/27,447
2020/6/28,447
2020/6/29,447
2020/6/30,447
2020/7/1,447
2020/7/2,448
2020/7/3,449
2020/7/4,449
2020/7/5,449
2020/7/6,449
2020/7/7,449
2020/7/8,449
2020/7/9,449
2020/7/10,449
2020/7/11,451
2020/7/12,451
2020/7/13,451
2020/7/14,451
2020/7/15,451
2020/7/16,451
2020/7/17,451
2020/7/18,451
2020/7/19,451
2020/7/20,451
2020/7/21,451
2020/7/22,455
2020/7/23,455
2020/7/24,458
2020/7/25,458
2020/7/26,458
2020/7/27,462
2020/7/28,467
2020/7/29,467
2020/7/30,467
2020/7/31,467
2020/8/1,474
2020/8/2,475
2020/8/3,474
2020/8/4,476
2020/8/5,476
2020/8/6,477
2020/8/7,477
2020/8/8,479
2020/8/9,477
2020/8/10,477
2020/8/11,480
2020/8/12,481
2020/8/13,481
2020/8/14,481
2020/8/15,482
2020/8/16,484
2020/8/17,485
2020/8/18,486
2020/8/19,486
2020/8/20,486
2020/8/21,487
2020/8/22,487
2020/8/23,487
2020/8/24,487
2020/8/25,487
2020/8/26,487
2020/8/27,487
2020/8/28,487
2020/8/29,488
2020/8/30,488
2020/8/31,488
2020/9/1,488
2020/9/2,489
2020/9/3,489
2020/9/4,490
2020/9/5,492
2020/9/6,493
2020/9/7,494
2020/9/8,495
2020/9/9,495
2020/9/10,496
2020/9/11,498
2020/9/12,498
2020/9/13,498
2020/9/14,499
2020/9/15,499
2020/9/16,500
2020/9/17,503
2020/9/18,503
2020/9/19,506
2020/9/20,507
2020/9/21,509
2020/9/22,509
2020/9/23,509
2020/9/24,509
2020/9/25,510
2020/9/26,510
2020/9/27,510
2020/9/28,513
2020/9/29,513
2020/9/30,514
2020/10/1,515
2020/10/2,517
2020/10/3,517
2020/10/4,517
2020/10/5,518
2020/10/6,521
2020/10/7,523
2020/10/8,524
2020/10/9,527
2020/10/10,527
2020/10/11,527
2020/10/12,529
2020/10/13,530
2020/10/14,530
2020/10/15,531
2020/10/16,535
2020/10/17,535
2020/10/18,535
2020/10/19,540
2020/10/20,543
2020/10/21,544
2020/10/22,548
2020/10/23,548
2020/10/24,550
2020/10/25,550
2020/10/26,550
2020/10/27,550
2020/10/28,550
2020/10/29,553
2020/10/30,554
2020/10/31,555
2020/11/1,558
2020/11/2,563
2020/11/3,567
2020/11/4,568
2020/11/5,569
2020/11/6,573
2020/11/7,573
2020/11/8,577
2020/11/9,578
2020/11/10,580
2020/11/11,584
2020/11/12,589
2020/11/13,597
2020/11/14,600
2020/11/15,602
2020/11/16,603
2020/11/17,605
2020/11/18,607
2020/11/19,609
2020/11/20,611
2020/11/21,611
2020/11/22,617
2020/11/23,618
2020/11/24,618
2020/11/25,623
2020/11/26,625
2020/11/27,639
2020/11/28,648
2020/11/29,651
2020/11/30,675
2020/12/1,679
2020/12/2,685
2020/12/3,686
2020/12/4,690
2020/12/5,694
2020/12/6,716
2020/12/7,716
2020/12/8,718
2020/12/9,720
2020/12/10,724
2020/12/11,725
2020/12/12,733
2020/12/13,736
2020/12/14,740
2020/12/15,742
2020/12/16,749
2020/12/17,757
2020/12/18,759
2020/12/19,763
2020/12/20,766
2020/12/21,766
2020/12/22,770
2020/12/23,776
2020/12/24,776
2020/12/25,780
2020/12/26,783
2020/12/27,785
2020/12/28,793
2020/12/29,795
2020/12/30,797
2020/12/31,799
2021/1/1,802
2021/1/2,808
2021/1/3,812
2021/1/4,815
2021/1/5,817
2021/1/6,819
2021/1/7,822
2021/1/8,825
2021/1/9,828
2021/1/10,828
2021/1/11,834
2021/1/12,838
2021/1/13,842
2021/1/14,842
2021/1/15,843
2021/1/16,851
2021/1/17,855
2021/1/18,862
2021/1/19,868
2021/1/20,870
2021/1/21,881
2021/1/22,881
2021/1/23,884
2021/1/24,889
2021/1/25,889
2021/1/26,890
2021/1/27,893
2021/1/28,895
2021/1/29,899
2021/1/30,909
2021/1/31,911
2021/2/1,912
2021/2/2,915
2021/2/3,917
2021/2/4,919
2021/2/5,923
2021/2/6,924
2021/2/7,927
2021/2/8,928
2021/2/9,933
2021/2/10,935
2021/2/11,936
2021/2/12,937
2021/2/13,937
2021/2/14,937
2021/2/15,937
2021/2/16,937
2021/2/17,938
2021/2/18,940
2021/2/19,941
2021/2/20,942
2021/2/21,942
2021/2/22,942
