date,cases
2020/3/5,1
2020/3/6,1
2020/3/7,1
2020/3/8,3
2020/3/9,4
2020/3/10,7
2020/3/11,8
2020/3/12,18
2020/3/13,26
2020/3/14,32
2020/3/15,39
2020/3/16,52
2020/3/17,73
2020/3/18,98
2020/3/19,155
2020/3/20,237
2020/3/21,312
2020/3/22,424
2020/3/23,522
2020/3/24,678
2020/3/25,806
2020/3/26,981
2020/3/27,1180
2020/3/28,1363
2020/3/29,1569
2020/3/30,1721
2020/3/31,2049
2020/4/1,2689
2020/4/2,2868
2020/4/3,3032
2020/4/4,3265
2020/4/5,3538
2020/4/6,3753
2020/4/7,4010
2020/4/8,4246
2020/4/9,4456
2020/4/10,4793
2020/4/11,4983
2020/4/12,5144
2020/4/13,5483
2020/4/14,5654
2020/4/15,5864
2020/4/16,6077
2020/4/17,6423
2020/4/18,6624
2020/4/19,6824
2020/4/20,6994
2020/4/21,7317
2020/4/22,7681
2020/4/23,8169
2020/4/24,8618
2020/4/25,8918
2020/4/26,9435
2020/4/27,9739
2020/4/28,9974
2020/4/29,10255
2020/4/30,10506
2020/5/1,11781
2020/5/2,12376
2020/5/3,12871
2020/5/4,13283
2020/5/5,13555
2020/5/6,13737
2020/5/7,14108
2020/5/8,14276
2020/5/9,14675
2020/5/10,15060
2020/5/11,15423
2020/5/12,15777
2020/5/13,16261
2020/5/14,16588
2020/5/15,16917
2020/5/16,17204
2020/5/17,17391
2020/5/18,17767
2020/5/19,18301
2020/5/20,18534
2020/5/21,18970
2020/5/22,19364
2020/5/23,19765
2020/5/24,20116
2020/5/25,20533
2020/5/26,20960
2020/5/27,21360
2020/5/28,21763
2020/5/29,22199
2020/5/30,22676
2020/5/31,22832
2020/6/1,23242
2020/6/2,24498
2020/6/3,25024
2020/6/4,25374
2020/6/5,25799
2020/6/6,26359
2020/6/7,26811
2020/6/8,27217
2020/6/9,27865
2020/6/10,28379
2020/6/11,28766
2020/6/12,29218
2020/6/13,29616
2020/6/14,30174
2020/6/15,30945
2020/6/16,31623
2020/6/17,32112
2020/6/18,32604
2020/6/19,33603
2020/6/20,34223
2020/6/21,34719
2020/6/22,35255
2020/6/23,36018
2020/6/24,36822
2020/6/25,37695
2020/6/26,38802
2020/6/27,39813
2020/6/28,39945
2020/6/29,41388
2020/6/30,42815
2020/7/1,44360
2020/7/2,46176
2020/7/3,47882
2020/7/4,49232
2020/7/5,50365
2020/7/6,51509
2020/7/7,52643
2020/7/8,54756
2020/7/9,56531
2020/7/10,58224
2020/7/11,59981
2020/7/12,61106
2020/7/13,63615
2020/7/14,65412
2020/7/15,67515
2020/7/16,69827
2020/7/17,72072
2020/7/18,74518
2020/7/19,76180
2020/7/20,77944
2020/7/21,80026
2020/7/22,82172
2020/7/23,84652
2020/7/24,86667
2020/7/25,88459
2020/7/26,91330
2020/7/27,93869
2020/7/28,96318
2020/7/29,98145
2020/7/30,100166
2020/7/31,103144
2020/8/1,105455
2020/8/2,106804
2020/8/3,107900
2020/8/4,109652
2020/8/5,111305
2020/8/6,113519
2020/8/7,115940
2020/8/8,117725
2020/8/9,119788
2020/8/10,120967
2020/8/11,122003
2020/8/12,123489
2020/8/13,125487
2020/8/14,127465
2020/8/15,128771
2020/8/16,130620
2020/8/17,131742
2020/8/18,132796
2020/8/19,134810
2020/8/20,136260
2020/8/21,137932
2020/8/22,139366
2020/8/23,141000
2020/8/24,141675
2020/8/25,142501
2020/8/26,144400
2020/8/27,146183
2020/8/28,147814
2020/8/29,149310
2020/8/30,150249
2020/8/31,152033
2020/9/1,153274
2020/9/2,154833
2020/9/3,157028
2020/9/4,158120
2020/9/5,159893
2020/9/6,161589
2020/9/7,162531
2020/9/8,163180
2020/9/9,164032
2020/9/10,165911
2020/9/11,167263
2020/9/12,168552
2020/9/13,169310
2020/9/14,171498
2020/9/15,172692
2020/9/16,174400
2020/9/17,175702
2020/9/18,177707
2020/9/19,179017
2020/9/20,180621
2020/9/21,181725
2020/9/22,182546
2020/9/23,184068
2020/9/24,185121
2020/9/25,186769
2020/9/26,188205
2020/9/27,190037
2020/9/28,190991
2020/9/29,191859
2020/9/30,193357
2020/10/1,194601
2020/10/2,195680
2020/10/3,196870
2020/10/4,198262
2020/10/5,200603
2020/10/6,202257
2020/10/7,204286
2020/10/8,206265
2020/10/9,207823
2020/10/10,209593
2020/10/11,211426
2020/10/12,214245
2020/10/13,215423
2020/10/14,217140
2020/10/15,219355
2020/10/16,220099
2020/10/17,222608
2020/10/18,225126
2020/10/19,228267
2020/10/20,229794
2020/10/21,232100
2020/10/22,234079
2020/10/23,237607
2020/10/24,240191
2020/10/25,243508
2020/10/26,245760
2020/10/27,247688
2020/10/28,250269
2020/10/29,252727
2020/10/30,255332
2020/10/31,256923
2020/11/1,257658
2020/11/2,260275
2020/11/3,262053
2020/11/4,265407
2020/11/5,267557
2020/11/6,269292
2020/11/7,273603
2020/11/8,277073
2020/11/9,282746
2020/11/10,284725
2020/11/11,288311
2020/11/12,291482
2020/11/13,295135
2020/11/14,299597
2020/11/15,305211
2020/11/16,312710
2020/11/17,314553
2020/11/18,319021
2020/11/19,321832
2020/11/20,325282
2020/11/21,329490
2020/11/22,333853
2020/11/23,337637
2020/11/24,339059
