date,cases
2020/1/22,4
2020/1/23,4
2020/1/24,8
2020/1/25,10
2020/1/26,14
2020/1/27,23
2020/1/28,24
2020/1/29,27
2020/1/30,31
2020/1/31,32
2020/2/1,41
2020/2/2,48
2020/2/3,60
2020/2/4,67
2020/2/5,69
2020/2/6,79
2020/2/7,81
2020/2/8,88
2020/2/9,91
2020/2/10,95
2020/2/11,106
2020/2/12,112
2020/2/13,119
2020/2/14,120
2020/2/15,122
2020/2/16,124
2020/2/17,125
2020/2/18,128
2020/2/19,130
2020/2/20,131
2020/2/21,132
2020/2/22,135
2020/2/23,135
2020/2/24,135
2020/2/25,135
2020/2/26,135
2020/2/27,136
2020/2/28,136
2020/2/29,136
2020/3/1,136
2020/3/2,136
2020/3/3,136
2020/3/4,136
2020/3/5,136
2020/3/6,136
2020/3/7,136
2020/3/8,136
2020/3/9,136
2020/3/10,136
2020/3/11,136
2020/3/12,136
2020/3/13,136
2020/3/14,136
2020/3/15,136
2020/3/16,136
2020/3/17,136
2020/3/18,136
2020/3/19,137
2020/3/20,137
2020/3/21,137
2020/3/22,137
2020/3/23,141
2020/3/24,145
2020/3/25,145
2020/3/26,151
2020/3/27,155
2020/3/28,161
2020/3/29,166
2020/3/30,174
2020/3/31,174
2020/4/1,176
2020/4/2,176
2020/4/3,180
2020/4/4,180
2020/4/5,180
2020/4/6,180
2020/4/7,180
2020/4/8,180
2020/4/9,182
2020/4/10,183
2020/4/11,183
2020/4/12,183
2020/4/13,184
2020/4/14,185
2020/4/15,185
2020/4/16,186
2020/4/17,189
2020/4/18,189
2020/4/19,189
2020/4/20,189
2020/4/21,189
2020/4/22,189
2020/4/23,189
2020/4/24,190
2020/4/25,190
2020/4/26,190
2020/4/27,190
2020/4/28,190
2020/4/29,190
2020/4/30,190
2020/5/1,190
2020/5/2,190
2020/5/3,190
2020/5/4,190
2020/5/5,190
2020/5/6,190
2020/5/7,190
2020/5/8,191
2020/5/9,191
2020/5/10,191
2020/5/11,191
2020/5/12,191
2020/5/13,191
2020/5/14,191
2020/5/15,191
2020/5/16,192
2020/5/17,192
2020/5/18,192
2020/5/19,192
2020/5/20,192
2020/5/21,192
2020/5/22,192
2020/5/23,192
2020/5/24,192
2020/5/25,192
2020/5/26,192
2020/5/27,192
2020/5/28,192
2020/5/29,192
2020/5/30,192
2020/5/31,192
2020/6/1,192
2020/6/2,192
2020/6/3,192
2020/6/4,192
2020/6/5,192
2020/6/6,193
2020/6/7,193
2020/6/8,193
2020/6/9,194
2020/6/10,195
2020/6/11,195
2020/6/12,196
2020/6/13,196
2020/6/14,196
2020/6/15,196
2020/6/16,196
2020/6/17,197
2020/6/18,197
2020/6/19,197
2020/6/20,197
2020/6/21,197
2020/6/22,198
2020/6/23,198
2020/6/24,198
2020/6/25,198
2020/6/26,198
2020/6/27,198
2020/6/28,198
2020/6/29,198
2020/6/30,198
2020/7/1,198
2020/7/2,198
2020/7/3,198
2020/7/4,199
2020/7/5,199
2020/7/6,199
2020/7/7,199
2020/7/8,199
2020/7/9,199
2020/7/10,199
2020/7/11,203
2020/7/12,203
2020/7/13,203
2020/7/14,203
2020/7/15,203
2020/7/16,203
2020/7/17,203
2020/7/18,203
2020/7/19,203
2020/7/20,203
2020/7/21,203
2020/7/22,203
2020/7/23,203
2020/7/24,203
2020/7/25,204
2020/7/26,204
2020/7/27,204
2020/7/28,204
2020/7/29,204
2020/7/30,205
2020/7/31,205
2020/8/1,205
2020/8/2,205
2020/8/3,205
2020/8/4,205
2020/8/5,205
2020/8/6,205
2020/8/7,205
2020/8/8,205
2020/8/9,205
2020/8/10,205
2020/8/11,205
2020/8/12,205
2020/8/13,205
2020/8/14,205
2020/8/15,207
2020/8/16,207
2020/8/17,209
2020/8/18,209
2020/8/19,210
2020/8/20,216
2020/8/21,216
2020/8/22,218
2020/8/23,218
2020/8/24,219
2020/8/25,220
2020/8/26,220
2020/8/27,220
2020/8/28,220
2020/8/29,221
2020/8/30,226
2020/8/31,229
2020/9/1,229
2020/9/2,229
2020/9/3,230
2020/9/4,231
2020/9/5,231
2020/9/6,232
2020/9/7,233
2020/9/8,233
2020/9/9,233
2020/9/10,233
2020/9/11,233
2020/9/12,234
2020/9/13,234
2020/9/14,234
2020/9/15,234
2020/9/16,234
2020/9/17,237
2020/9/18,237
2020/9/19,237
2020/9/20,237
2020/9/21,238
2020/9/22,239
2020/9/23,239
2020/9/24,239
2020/9/25,240
2020/9/26,240
2020/9/27,240
2020/9/28,240
2020/9/29,240
2020/9/30,240
2020/10/1,240
2020/10/2,240
2020/10/3,241
2020/10/4,241
2020/10/5,242
2020/10/6,242
2020/10/7,242
2020/10/8,242
2020/10/9,244
2020/10/10,244
2020/10/11,245
2020/10/12,245
2020/10/13,245
2020/10/14,245
2020/10/15,247
2020/10/16,251
2020/10/17,252
2020/10/18,254
2020/10/19,256
2020/10/20,256
2020/10/21,256
2020/10/22,256
2020/10/23,259
2020/10/24,260
2020/10/25,260
2020/10/26,260
2020/10/27,261
2020/10/28,263
2020/10/29,265
2020/10/30,270
2020/10/31,270
2020/11/1,271
2020/11/2,273
2020/11/3,273
2020/11/4,273
2020/11/5,275
2020/11/6,275
2020/11/7,275
2020/11/8,276
2020/11/9,277
2020/11/10,283
2020/11/11,285
2020/11/12,285
2020/11/13,287
2020/11/14,289
2020/11/15,289
2020/11/16,290
2020/11/17,291
2020/11/18,291
2020/11/19,291
2020/11/20,296
2020/11/21,297
2020/11/22,298
2020/11/23,299
2020/11/24,299
2020/11/25,299
2020/11/26,299
2020/11/27,300
2020/11/28,300
2020/11/29,300
2020/11/30,300
2020/12/1,300
2020/12/2,300
2020/12/3,300
2020/12/4,300
2020/12/5,301
2020/12/6,301
2020/12/7,301
2020/12/8,301
2020/12/9,301
2020/12/10,301
