date,cases
2020/2/25,1
2020/2/26,1
2020/2/27,1
2020/2/28,1
2020/2/29,1
2020/3/1,1
2020/3/2,1
2020/3/3,1
2020/3/4,1
2020/3/5,1
2020/3/6,3
2020/3/7,3
2020/3/8,3
2020/3/9,3
2020/3/10,4
2020/3/11,5
2020/3/12,7
2020/3/13,7
2020/3/14,21
2020/3/15,29
2020/3/16,40
2020/3/17,51
2020/3/18,65
2020/3/19,80
2020/3/20,112
2020/3/21,138
2020/3/22,182
2020/3/23,257
2020/3/24,299
2020/3/25,346
2020/3/26,402
2020/3/27,480
2020/3/28,608
2020/3/29,719
2020/3/30,806
2020/3/31,887
2020/4/1,1012
2020/4/2,1077
2020/4/3,1248
2020/4/4,1426
2020/4/5,1618
2020/4/6,1662
2020/4/7,1737
2020/4/8,1860
2020/4/9,1980
2020/4/10,2103
2020/4/11,2208
2020/4/12,2305
2020/4/13,2368
2020/4/14,2420
2020/4/15,2549
2020/4/16,2687
2020/4/17,2813
2020/4/18,2942
2020/4/19,3071
2020/4/20,3213
2020/4/21,3301
2020/4/22,3451
2020/4/23,3621
2020/4/24,3782
2020/4/25,3950
2020/4/26,4123
2020/4/27,4236
2020/4/28,4343
2020/4/29,4499
2020/4/30,4672
2020/5/1,4829
2020/5/2,4981
2020/5/3,5175
2020/5/4,5326
2020/5/5,5449
2020/5/6,5605
2020/5/7,5724
2020/5/8,5919
2020/5/9,6103
2020/5/10,6251
2020/5/11,6364
2020/5/12,6454
2020/5/13,6624
2020/5/14,6760
2020/5/15,6930
2020/5/16,7068
2020/5/17,7238
2020/5/18,7384
2020/5/19,7530
2020/5/20,7717
2020/5/21,7876
2020/5/22,8057
2020/5/23,8260
2020/5/24,8392
2020/5/25,8521
2020/5/26,8622
2020/5/27,8710
2020/5/28,8953
2020/5/29,9282
2020/5/30,9551
2020/5/31,9829
2020/6/1,10026
2020/6/2,10237
2020/6/3,10558
2020/6/4,10858
2020/6/5,11344
2020/6/6,11866
2020/6/7,12084
2020/6/8,12378
2020/6/9,12639
2020/6/10,12982
2020/6/11,13366
2020/6/12,13681
2020/6/13,14061
2020/6/14,14313
2020/6/15,14757
2020/6/16,15077
2020/6/17,15464
2020/6/18,16015
2020/6/19,16585
2020/6/20,17173
2020/6/21,17567
2020/6/22,18035
2020/6/23,18454
2020/6/24,18915
2020/6/25,19544
2020/6/26,20218
2020/6/27,20735
2020/6/28,21155
2020/6/29,21818
2020/6/30,22364
2020/7/1,22864
2020/7/2,23466
2020/7/3,24070
2020/7/4,24717
2020/7/5,25005
2020/7/6,25653
2020/7/7,26203
2020/7/8,26921
2020/7/9,27632
2020/7/10,28452
2020/7/11,29071
2020/7/12,29552
2020/7/13,30282
2020/7/14,30774
2020/7/15,31228
2020/7/16,31908
2020/7/17,32572
2020/7/18,33430
2020/7/19,34117
2020/7/20,34526
2020/7/21,35089
2020/7/22,35677
2020/7/23,36178
2020/7/24,37063
2020/7/25,37623
2020/7/26,37973
2020/7/27,38439
2020/7/28,38877
2020/7/29,39339
2020/7/30,39714
2020/7/31,40258
2020/8/1,40754
2020/8/2,41175
2020/8/3,41571
2020/8/4,42018
2020/8/5,42478
2020/8/6,43032
2020/8/7,43530
2020/8/8,43821
2020/8/9,44130
2020/8/10,44487
2020/8/11,44836
2020/8/12,45181
2020/8/13,45537
2020/8/14,46048
2020/8/15,46413
2020/8/16,46652
2020/8/17,46936
2020/8/18,47285
2020/8/19,47647
2020/8/20,48103
2020/8/21,48616
2020/8/22,48950
2020/8/23,49125
2020/8/24,49451
2020/8/25,49870
2020/8/26,50298
2020/8/27,50668
2020/8/28,51071
2020/8/29,51486
2020/8/30,51854
2020/8/31,52166
2020/9/1,52505
2020/9/2,52950
2020/9/3,53412
2020/9/4,53940
2020/9/5,54364
2020/9/6,54660
2020/9/7,55052
2020/9/8,55424
2020/9/9,55730
2020/9/10,56182
2020/9/11,56789
2020/9/12,57276
2020/9/13,57892
2020/9/14,58451
2020/9/15,59017
2020/9/16,59770
2020/9/17,60662
2020/9/18,61786
2020/9/19,62893
2020/9/20,63774
2020/9/21,64404
2020/9/22,65058
2020/9/23,65948
2020/9/24,67167
2020/9/25,68537
2020/9/26,69556
2020/9/27,70616
