date,cases
2020/3/7,1
2020/3/8,1
2020/3/9,1
2020/3/10,1
2020/3/11,2
2020/3/12,2
2020/3/13,2
2020/3/14,5
2020/3/15,8
2020/3/16,12
2020/3/17,14
2020/3/18,19
2020/3/19,22
2020/3/20,29
2020/3/21,49
2020/3/22,52
2020/3/23,75
2020/3/24,95
2020/3/25,123
2020/3/26,158
2020/3/27,184
2020/3/28,211
2020/3/29,235
2020/3/30,256
2020/3/31,293
2020/4/1,321
2020/4/2,338
2020/4/3,389
2020/4/4,461
2020/4/5,512
2020/4/6,543
2020/4/7,575
2020/4/8,605
2020/4/9,628
2020/4/10,679
2020/4/11,711
2020/4/12,727
2020/4/13,748
2020/4/14,752
2020/4/15,759
2020/4/16,768
2020/4/17,779
2020/4/18,803
2020/4/19,812
2020/4/20,816
2020/4/21,818
2020/4/22,823
2020/4/23,825
2020/4/24,827
2020/4/25,843
2020/4/26,851
2020/4/27,855
2020/4/28,862
2020/4/29,862
2020/4/30,866
2020/5/1,879
2020/5/2,886
2020/5/3,897
2020/5/4,902
2020/5/5,907
2020/5/6,908
2020/5/7,916
2020/5/8,919
2020/5/9,921
2020/5/10,926
2020/5/11,926
2020/5/12,927
2020/5/13,929
2020/5/14,932
2020/5/15,933
2020/5/16,934
2020/5/17,940
2020/5/18,940
2020/5/19,944
2020/5/20,944
2020/5/21,950
2020/5/22,952
2020/5/23,954
2020/5/24,956
2020/5/25,962
2020/5/26,967
2020/5/27,971
2020/5/28,974
2020/5/29,975
2020/5/30,977
2020/5/31,981
2020/6/1,983
2020/6/2,988
2020/6/3,990
2020/6/4,1026
2020/6/5,1027
2020/6/6,1046
2020/6/7,1063
2020/6/8,1075
2020/6/9,1084
2020/6/10,1095
2020/6/11,1110
2020/6/12,1119
2020/6/13,1125
2020/6/14,1127
2020/6/15,1130
2020/6/16,1130
2020/6/17,1130
2020/6/18,1135
2020/6/19,1144
2020/6/20,1147
2020/6/21,1159
2020/6/22,1163
2020/6/23,1164
2020/6/24,1184
2020/6/25,1191
2020/6/26,1198
2020/6/27,1200
2020/6/28,1202
2020/6/29,1208
2020/6/30,1208
2020/7/1,1210
2020/7/2,1227
2020/7/3,1236
2020/7/4,1238
2020/7/5,1249
2020/7/6,1251
2020/7/7,1254
2020/7/8,1256
2020/7/9,1272
2020/7/10,1277
2020/7/11,1283
2020/7/12,1296
2020/7/13,1301
2020/7/14,1305
2020/7/15,1318
2020/7/16,1325
2020/7/17,1334
2020/7/18,1338
2020/7/19,1350
2020/7/20,1360
2020/7/21,1366
2020/7/22,1366
2020/7/23,1377
2020/7/24,1385
2020/7/25,1396
2020/7/26,1400
2020/7/27,1402
2020/7/28,1405
2020/7/29,1406
2020/7/30,1407
2020/7/31,1414
2020/8/1,1421
2020/8/2,1426
2020/8/3,1427
2020/8/4,1431
2020/8/5,1436
2020/8/6,1445
2020/8/7,1448
2020/8/8,1454
2020/8/9,1459
2020/8/10,1462
2020/8/11,1472
2020/8/12,1478
2020/8/13,1484
2020/8/14,1501
2020/8/15,1509
2020/8/16,1515
2020/8/17,1527
2020/8/18,1530
2020/8/19,1533
2020/8/20,1537
2020/8/21,1541
2020/8/22,1553
2020/8/23,1557
2020/8/24,1566
2020/8/25,1572
2020/8/26,1577
2020/8/27,1586
2020/8/28,1589
2020/8/29,1605
2020/8/30,1616
2020/8/31,1624
2020/9/1,1635
2020/9/2,1637
2020/9/3,1637
2020/9/4,1642
2020/9/5,1647
2020/9/6,1648
2020/9/7,1651
2020/9/8,1654
2020/9/9,1656
2020/9/10,1661
2020/9/11,1668
2020/9/12,1677
2020/9/13,1684
2020/9/14,1696
2020/9/15,1702
2020/9/16,1702
2020/9/17,1705
2020/9/18,1706
2020/9/19,1710
2020/9/20,1715
2020/9/21,1719
2020/9/22,1721
2020/9/23,1722
2020/9/24,1724
2020/9/25,1731
2020/9/26,1739
2020/9/27,1742
2020/9/28,1745
2020/9/29,1749
2020/9/30,1752
2020/10/1,1755
2020/10/2,1768
2020/10/3,1778
2020/10/4,1785
2020/10/5,1817
2020/10/6,1821
2020/10/7,1827
2020/10/8,1838
2020/10/9,1846
2020/10/10,1857
2020/10/11,1868
2020/10/12,1876
2020/10/13,1886
2020/10/14,1889
2020/10/15,1903
2020/10/16,1915
2020/10/17,1926
2020/10/18,1937
2020/10/19,1946
2020/10/20,1956
2020/10/21,1971
2020/10/22,1987
2020/10/23,2016
2020/10/24,2043
2020/10/25,2073
2020/10/26,2083
2020/10/27,2113
2020/10/28,2120
2020/10/29,2141
2020/10/30,2155
2020/10/31,2179
2020/11/1,2196
2020/11/2,2219
2020/11/3,2237
2020/11/4,2267
2020/11/5,2303
2020/11/6,2326
2020/11/7,2347
2020/11/8,2392
2020/11/9,2415
2020/11/10,2462
2020/11/11,2535
2020/11/12,2651
2020/11/13,2743
2020/11/14,2843
2020/11/15,2889
2020/11/16,3008
2020/11/17,3104
2020/11/18,3161
2020/11/19,3310
2020/11/20,3459
2020/11/21,3546
2020/11/22,3629
2020/11/23,3714
2020/11/24,3762
2020/11/25,3827
2020/11/26,3827
2020/11/27,4005
2020/11/28,4033
2020/11/29,4100
2020/11/30,4172
2020/12/1,4239
2020/12/2,4461
2020/12/3,4642
2020/12/4,4763
2020/12/5,4894
2020/12/6,5015
2020/12/7,5080
2020/12/8,5180
2020/12/9,5285
2020/12/10,5413
2020/12/11,5541
2020/12/12,5626
2020/12/13,5753
2020/12/14,5857
2020/12/15,5923
2020/12/16,6009
2020/12/17,6149
2020/12/18,6243
2020/12/19,6343
2020/12/20,6443
2020/12/21,6534
2020/12/22,6608
2020/12/23,6680
2020/12/24,6781
2020/12/25,6781
2020/12/26,6966
2020/12/27,7029
2020/12/28,7120
2020/12/29,7202
2020/12/30,7276
2020/12/31,7412
2021/1/1,7412
2021/1/2,7689
2021/1/3,7793
2021/1/4,7873
2021/1/5,8038
2021/1/6,8158
2021/1/7,8403
2021/1/8,8619
2021/1/9,8790
2021/1/10,8967
2021/1/11,9078
2021/1/12,9247
2021/1/13,9368
2021/1/14,9573
2021/1/15,9734
2021/1/16,9915
2021/1/17,10057
2021/1/18,10220
2021/1/19,10321
2021/1/20,10471
2021/1/21,10580
2021/1/22,10759
2021/1/23,10908
2021/1/24,11033
2021/1/25,11165
2021/1/26,11285
2021/1/27,11379
2021/1/28,11523
2021/1/29,11658
2021/1/30,11831
2021/1/31,11965
2021/2/1,12083
2021/2/2,12196
2021/2/3,12329
2021/2/4,12503
2021/2/5,12612
2021/2/6,12766
2021/2/7,12900
2021/2/8,13046
2021/2/9,13105
2021/2/10,13122
2021/2/11,13249
2021/2/12,13415
2021/2/13,13561
2021/2/14,13677
2021/2/15,13862
2021/2/16,13917
2021/2/17,13996
2021/2/18,14149
2021/2/19,14251
2021/2/20,14359
2021/2/21,14493
2021/2/22,14608
2021/2/23,14691
2021/2/24,14768
2021/2/25,14840
2021/2/26,14963
2021/2/27,15098
2021/2/28,15198
2021/3/1,15284
2021/3/2,15372
2021/3/3,15487
2021/3/4,15686
2021/3/5,15819
2021/3/6,15964
2021/3/7,16083
2021/3/8,16199
2021/3/9,16286
2021/3/10,16371
2021/3/11,16500
2021/3/12,16623
2021/3/13,16698
2021/3/14,16890
2021/3/15,16992
2021/3/16,17047
2021/3/17,17106
2021/3/18,17247
2021/3/19,17393
2021/3/20,17555
2021/3/21,17740
2021/3/22,17839
2021/3/23,17933
2021/3/24,18028
2021/3/25,18215
2021/3/26,18498
2021/3/27,18623
2021/3/28,18820
2021/3/29,19002
2021/3/30,19109
2021/3/31,19275
2021/4/1,19523
2021/4/2,19755
2021/4/3,19905
2021/4/4,20149
2021/4/5,20267
2021/4/6,20373
2021/4/7,20442
2021/4/8,20669
2021/4/9,20815
2021/4/10,20965
2021/4/11,21202
2021/4/12,21291
2021/4/13,21388
2021/4/14,21488
2021/4/15,21664
2021/4/16,21803
2021/4/17,21869
2021/4/18,22016
2021/4/19,22112
2021/4/20,22112
2021/4/21,22238
2021/4/22,22325
2021/4/23,22416
2021/4/24,22479
2021/4/25,22576
2021/4/26,22617
2021/4/27,22675
2021/4/28,22723
2021/4/29,22824
2021/4/30,22952
2021/5/1,23032
2021/5/2,23126
2021/5/3,23158
2021/5/4,23191
2021/5/5,23247
2021/5/6,23296
2021/5/7,23393
2021/5/8,23445
2021/5/9,23486
2021/5/10,23541
2021/5/11,23606
2021/5/12,23651
2021/5/13,23724
2021/5/14,23792
2021/5/15,23847
2021/5/16,23883
2021/5/17,23912
2021/5/18,23945
2021/5/19,23988
2021/5/20,24026
2021/5/21,24065
2021/5/22,24084
2021/5/23,24106
2021/5/24,24127
2021/5/25,24136
2021/5/26,24162
2021/5/27,24182
2021/5/28,24190
2021/5/29,24200
2021/5/30,24209
2021/5/31,24220
2021/6/1,24224
2021/6/2,24232
2021/6/3,24240
2021/6/4,24252
2021/6/5,24252
2021/6/6,24252
2021/6/7,24282
2021/6/8,24295
2021/6/9,24300
2021/6/10,24314
2021/6/11,24320
2021/6/12,24320
2021/6/13,24320
2021/6/14,24331
2021/6/15,24339
2021/6/16,24348
2021/6/17,24357
2021/6/18,24360
2021/6/19,24360
2021/6/20,24360
2021/6/21,24368
2021/6/22,24371
2021/6/23,24379
2021/6/24,24385
2021/6/25,24392
2021/6/26,24392
2021/6/27,24392
2021/6/28,24402
2021/6/29,24406
2021/6/30,24410
2021/7/1,24412
2021/7/2,24419
2021/7/3,24419
2021/7/4,24419
2021/7/5,24419
2021/7/6,24433
2021/7/7,24440
2021/7/8,24445
2021/7/9,24457
2021/7/10,24457
2021/7/11,24457
2021/7/12,24489
2021/7/13,24497
2021/7/14,24516
2021/7/15,24529
2021/7/16,24550
2021/7/17,24550
2021/7/18,24550
2021/7/19,24579
2021/7/20,24590
2021/7/21,24609
2021/7/22,24647
2021/7/23,24676
2021/7/24,24676
2021/7/25,24676
2021/7/26,24748
2021/7/27,24760
2021/7/28,24804
2021/7/29,24830
2021/7/30,24889
2021/7/31,24889
2021/8/1,24889
2021/8/2,25038
2021/8/3,25077
2021/8/4,25129
2021/8/5,25219
2021/8/6,25320
2021/8/7,25320
2021/8/8,25320
2021/8/9,25571
2021/8/10,25663
2021/8/11,25757
2021/8/12,25883
2021/8/13,26040
2021/8/14,26040
2021/8/15,26040
2021/8/16,26040
2021/8/17,26397
2021/8/18,26494
2021/8/19,26663
2021/8/20,26778
2021/8/21,26778
2021/8/22,27050
2021/8/23,27132
2021/8/24,27237
2021/8/25,27355
2021/8/26,27504
2021/8/27,27648
2021/8/28,27835
2021/8/29,27972
2021/8/30,28044
2021/8/31,28200
2021/9/1,28399
2021/9/2,28542
2021/9/3,28703
2021/9/4,28884
2021/9/5,28994
2021/9/6,29125
2021/9/7,29325
2021/9/8,29436
2021/9/9,29588
2021/9/10,29735
2021/9/11,29934
2021/9/12,30114
2021/9/13,30264
2021/9/14,30376
2021/9/15,30584
2021/9/16,30922
2021/9/17,31156
2021/9/18,31361
2021/9/19,31634
2021/9/20,31764
2021/9/21,31911
2021/9/22,32079
2021/9/23,32368
2021/9/24,32610
2021/9/25,32790
2021/9/26,33031
2021/9/27,33231
2021/9/28,33329
2021/9/29,33438
2021/9/30,33662
2021/10/1,33852
2021/10/2,34081
2021/10/3,34221
2021/10/4,34411
2021/10/5,34505
2021/10/6,34632
2021/10/7,34923
2021/10/8,35204
2021/10/9,35459
2021/10/10,35672
2021/10/11,35892
2021/10/12,36025
2021/10/13,36352
2021/10/14,36503
2021/10/15,36730
2021/10/16,37069
2021/10/17,37318
2021/10/18,37519
2021/10/19,37651
2021/10/20,37768
2021/10/21,38090
2021/10/22,38320
2021/10/23,38573
2021/10/24,38843
2021/10/25,38982
2021/10/26,39072
2021/10/27,39233
2021/10/28,39559
2021/10/29,39788
2021/10/30,39923
2021/10/31,40191
2021/11/1,40340
2021/11/2,40513
2021/11/3,40727
2021/11/4,41254
2021/11/5,41644
2021/11/6,41908
2021/11/7,42313
2021/11/8,42547
2021/11/9,42716
2021/11/10,42910
2021/11/11,43521
2021/11/12,44030
2021/11/13,44490
2021/11/14,44801
2021/11/15,45024
2021/11/16,45213
2021/11/17,45456
2021/11/18,45985
2021/11/19,46449
2021/11/20,46896
2021/11/21,47376
2021/11/22,47609
2021/11/23,47805
2021/11/24,48120
2021/11/25,48120
2021/11/26,48120
2021/11/27,48120
2021/11/28,48120
2021/11/29,49801
2021/11/30,50014
2021/12/1,50510
2021/12/2,51134
2021/12/3,51629
2021/12/4,52195
2021/12/5,52889
2021/12/6,53131
2021/12/7,53431
2021/12/8,53835
2021/12/9,54321
2021/12/10,55057
2021/12/11,55317
2021/12/12,55849
2021/12/13,56084
2021/12/14,56317
2021/12/15,56661
2021/12/16,57333
2021/12/17,57809
2021/12/18,58247
2021/12/19,58695
2021/12/20,58935
2021/12/21,59175
2021/12/22,59826
2021/12/23,60265
2021/12/24,60265
2021/12/25,60265
2021/12/26,60265
2021/12/27,61735
2021/12/28,62143
2021/12/29,63076
2021/12/30,64447
2021/12/31,64447
2022/1/1,64447
2022/1/2,64447
2022/1/3,67226
2022/1/4,68957
2022/1/5,69762
2022/1/6,71942
2022/1/7,73802
2022/1/8,76421
2022/1/9,76673
2022/1/10,76673
2022/1/11,76673
2022/1/12,81987
2022/1/13,83994
2022/1/14,86311
2022/1/15,88104
2022/1/16,90668
2022/1/17,90668
2022/1/18,92198
2022/1/19,93492
2022/1/20,93492
