date,cases
2020/3/7,1
2020/3/8,2
2020/3/9,5
2020/3/10,8
2020/3/11,10
2020/3/12,17
2020/3/13,30
2020/3/14,42
2020/3/15,45
2020/3/16,51
2020/3/17,67
2020/3/18,78
2020/3/19,94
2020/3/20,115
2020/3/21,152
2020/3/22,219
2020/3/23,254
2020/3/24,291
2020/3/25,390
2020/3/26,603
2020/3/27,605
2020/3/28,739
2020/3/29,889
2020/3/30,1020
2020/3/31,1249
2020/4/1,1511
2020/4/2,1706
2020/4/3,2011
2020/4/4,2408
2020/4/5,2636
2020/4/6,2877
2020/4/7,3332
2020/4/8,3644
2020/4/9,4041
2020/4/10,4509
2020/4/11,5076
2020/4/12,5273
2020/4/13,5746
2020/4/14,6173
2020/4/15,6502
2020/4/16,6891
2020/4/17,7492
2020/4/18,8053
2020/4/19,8536
2020/4/20,8989
2020/4/21,9629
2020/4/22,10265
2020/4/23,10999
2020/4/24,11595
2020/4/25,12365
2020/4/26,12969
2020/4/27,13534
2020/4/28,14340
2020/4/29,14963
2020/4/30,15848
2020/5/1,16903
2020/5/2,17733
2020/5/3,18673
2020/5/4,19494
2020/5/5,20258
2020/5/6,20258
2020/5/7,21570
2020/5/8,22342
2020/5/9,23196
2020/5/10,24081
2020/5/11,25070
2020/5/12,25800
2020/5/13,26746
2020/5/14,27813
2020/5/15,28672
2020/5/16,29683
2020/5/17,30388
2020/5/18,31140
2020/5/19,32145
2020/5/20,32908
2020/5/21,34137
2020/5/22,34950
2020/5/23,35749
2020/5/24,36244
2020/5/25,37727
2020/5/26,39342
2020/5/27,40249
2020/5/28,41401
2020/5/29,42533
2020/5/30,43611
2020/5/31,44607
2020/6/1,45398
2020/6/2,46239
2020/6/3,46905
2020/6/4,47856
2020/6/5,48532
2020/6/6,49397
2020/6/7,50681
2020/6/8,51251
2020/6/9,51738
2020/6/10,52177
2020/6/11,52647
2020/6/12,53211
2020/6/13,53869
2020/6/14,54506
2020/6/15,54886
2020/6/16,55331
2020/6/17,55775
2020/6/18,56238
2020/6/19,56793
2020/6/20,57443
2020/6/21,57994
2020/6/22,58465
2020/6/23,58994
2020/6/24,59514
2020/6/25,59946
2020/6/26,60570
2020/6/27,61247
2020/6/28,61736
2020/6/29,62189
2020/6/30,62787
2020/7/1,63203
2020/7/2,63735
2020/7/3,64393
2020/7/4,65109
2020/7/5,65748
2020/7/6,66102
2020/7/7,66740
2020/7/8,67375
2020/7/9,67988
2020/7/10,68931
2020/7/11,69782
2020/7/12,70670
2020/7/13,71642
2020/7/14,72443
2020/7/15,73527
2020/7/16,74431
2020/7/17,75433
2020/7/18,76373
2020/7/19,77430
2020/7/20,78375
2020/7/21,79371
2020/7/22,80393
2020/7/23,81237
2020/7/24,82364
2020/7/25,83609
2020/7/26,84567
2020/7/27,86072
2020/7/28,86994
2020/7/29,87993
2020/7/30,88904
2020/7/31,89888
2020/8/1,90801
2020/8/2,91782
2020/8/3,93106
2020/8/4,94251
2020/8/5,95049
2020/8/6,95867
2020/8/7,97882
2020/8/8,99189
2020/8/9,100086
2020/8/10,100749
2020/8/11,101745
2020/8/12,102521
2020/8/13,103622
2020/8/14,104838
2020/8/15,105750
2020/8/16,106687
2020/8/17,107421
2020/8/18,108282
2020/8/19,109019
2020/8/20,109895
2020/8/21,110860
2020/8/22,112072
2020/8/23,112966
2020/8/24,113630
2020/8/25,114635
2020/8/26,115458
2020/8/27,116579
2020/8/28,117592
2020/8/29,118809
2020/8/30,119747
2020/8/31,120594
2020/9/1,121615
2020/9/2,122542
2020/9/3,123668
2020/9/4,124779
2020/9/5,125727
2020/9/6,126926
2020/9/7,127571
2020/9/8,128407
2020/9/9,129289
2020/9/10,130525
2020/9/11,131640
2020/9/12,132940
2020/9/13,133814
2020/9/14,134571
2020/9/15,135514
2020/9/16,136359
2020/9/17,137460
2020/9/18,138702
2020/9/19,139655
2020/9/20,140511
2020/9/21,141138
2020/9/22,142010
2020/9/23,142590
2020/9/24,143492
2020/9/25,144433
2020/9/26,145408
2020/9/27,146144
2020/9/28,146593
2020/9/29,147516
2020/9/30,148271
2020/10/1,148721
2020/10/2,149687
2020/10/3,150803
2020/10/4,151870
2020/10/5,152557
2020/10/6,153182
2020/10/7,153691
2020/10/8,155535
2020/10/9,156649
2020/10/10,157905
2020/10/11,158716
2020/10/12,159570
2020/10/13,160805
2020/10/14,161610
2020/10/15,162941
2020/10/16,164124
2020/10/17,165238
2020/10/18,166138
2020/10/19,166828
2020/10/20,167754
2020/10/21,168772
2020/10/22,170104
2020/10/23,171284
2020/10/24,172372
2020/10/25,173371
2020/10/26,174275
2020/10/27,175409
2020/10/28,176754
2020/10/29,178183
2020/10/30,179639
2020/10/31,181190
2020/11/1,182392
2020/11/2,183418
2020/11/3,184679
2020/11/4,185836
2020/11/5,187202
2020/11/6,188770
2020/11/7,190873
2020/11/8,192175
2020/11/9,193477
2020/11/10,194912
2020/11/11,196506
2020/11/12,198027
2020/11/13,199262
2020/11/14,200799
2020/11/15,201960
2020/11/16,204637
2020/11/17,206762
2020/11/18,208833
2020/11/19,210787
2020/11/20,213331
2020/11/21,215679
2020/11/22,217796
2020/11/23,221038
2020/11/24,223582
2020/11/25,226300
2020/11/26,228900
2020/11/27,230444
2020/11/28,233617
2020/11/29,235942
2020/11/30,237835
2020/12/1,240063
2020/12/2,242480
2020/12/3,244503
2020/12/4,247380
2020/12/5,251173
2020/12/6,255053
2020/12/7,258870
2020/12/8,262730
2020/12/9,267128
2020/12/10,271043
2020/12/11,274438
2020/12/12,278615
2020/12/13,281909
2020/12/14,285149
2020/12/15,288309
2020/12/16,292240
2020/12/17,296093
2020/12/18,299388
2020/12/19,302972
2020/12/20,306848
2020/12/21,310890
2020/12/22,314481
2020/12/23,319133
2020/12/24,323915
2020/12/25,327993
2020/12/26,329577
2020/12/27,333576
2020/12/28,336175
2020/12/29,340297
2020/12/30,344345
2020/12/31,349584
2021/1/1,354766
2021/1/2,358755
2021/1/3,363765
2021/1/4,367536
2021/1/5,371913
2021/1/6,377300
2021/1/7,382679
2021/1/8,387917
2021/1/9,393715
2021/1/10,398856
2021/1/11,403386
2021/1/12,407947
2021/1/13,412545
2021/1/14,417839
2021/1/15,422634
2021/1/16,429391
2021/1/17,439305
2021/1/18,446550
2021/1/19,451076
2021/1/20,455591
2021/1/21,459604
2021/1/22,463751
2021/1/23,468655
2021/1/24,472447
2021/1/25,478619
2021/1/26,483326
2021/1/27,488553
2021/1/28,493674
2021/1/29,497912
2021/1/30,502221
2021/1/31,504779
2021/2/1,507640
2021/2/2,510380
2021/2/3,513339
2021/2/4,516398
2021/2/5,521467
2021/2/6,526176
2021/2/7,529125
2021/2/8,530825
2021/2/9,534116
2021/2/10,537319
2021/2/11,541018
2021/2/12,544209
2021/2/13,547424
2021/2/14,549999
2021/2/15,551538
2021/2/16,553308
2021/2/17,555592
2021/2/18,557896
2021/2/19,559930
2021/2/20,561812
2021/2/21,564115
2021/2/22,565270
2021/2/23,567039
2021/2/24,568946
2021/2/25,570982
2021/2/26,572639
2021/2/27,574314
2021/2/28,576050
2021/3/1,577174
2021/3/2,578559
2021/3/3,580108
2021/3/4,581408
2021/3/5,583060
2021/3/6,584537
2021/3/7,585700
2021/3/8,586592
2021/3/9,588129
2021/3/10,589375
2021/3/11,590625
2021/3/12,592214
2021/3/13,593562
2021/3/14,594735
2021/3/15,595865
2021/3/16,597141
2021/3/17,598468
2021/3/18,600550
2021/3/19,602182
2021/3/20,603748
2021/3/21,604908
2021/3/22,605969
2021/3/23,607234
2021/3/24,608704
2021/3/25,610263
2021/3/26,612062
2021/3/27,613974
2021/3/28,615366
2021/3/29,616509
2021/3/30,617941
2021/3/31,618976
2021/4/1,620801
2021/4/2,622339
2021/4/3,623881
2021/4/4,625148
2021/4/5,626171
2021/4/6,627605
2021/4/7,629155
2021/4/8,631083
2021/4/9,632625
2021/4/10,634325
2021/4/11,635552
2021/4/12,636862
2021/4/13,638910
2021/4/14,640211
2021/4/15,641626
2021/4/16,643220
2021/4/17,644828
2021/4/18,646133
2021/4/19,647111
2021/4/20,648347
2021/4/21,649608
2021/4/22,650981
2021/4/23,652321
2021/4/24,653326
2021/4/25,654210
2021/4/26,654929
2021/4/27,656051
2021/4/28,657160
2021/4/29,658341
2021/4/30,659590
2021/5/1,660553
2021/5/2,661314
2021/5/3,661925
2021/5/4,662696
2021/5/5,663538
2021/5/6,664394
2021/5/7,665332
2021/5/8,666111
2021/5/9,666650
2021/5/10,666986
2021/5/11,667586
2021/5/12,668147
2021/5/13,668726
2021/5/14,669219
2021/5/15,669918
2021/5/16,670192
2021/5/17,670465
2021/5/18,670854
2021/5/19,671325
2021/5/20,671916
2021/5/21,672312
2021/5/22,672793
2021/5/23,673029
2021/5/24,673105
2021/5/25,673759
2021/5/26,674082
2021/5/27,674439
2021/5/28,674843
2021/5/29,675165
2021/5/30,675392
2021/5/31,675538
2021/6/1,675597
2021/6/2,675783
2021/6/3,676041
2021/6/4,676300
2021/6/5,676586
2021/6/6,676741
2021/6/7,676831
2021/6/8,677013
2021/6/9,677210
2021/6/10,677425
2021/6/11,677530
2021/6/12,677671
2021/6/13,677744
2021/6/14,677812
2021/6/15,677949
2021/6/16,678226
