date,cases
2020/1/21,1
2020/1/22,1
2020/1/23,1
2020/1/24,1
2020/1/25,1
2020/1/26,1
2020/1/27,1
2020/1/28,1
2020/1/29,1
2020/1/30,1
2020/1/31,1
2020/2/1,1
2020/2/2,1
2020/2/3,1
2020/2/4,1
2020/2/5,1
2020/2/6,1
2020/2/7,1
2020/2/8,1
2020/2/9,1
2020/2/10,1
2020/2/11,1
2020/2/12,1
2020/2/13,1
2020/2/14,1
2020/2/15,1
2020/2/16,1
2020/2/17,1
2020/2/18,1
2020/2/19,1
2020/2/20,1
2020/2/21,1
2020/2/22,1
2020/2/23,1
2020/2/24,5
2020/2/25,5
2020/2/26,5
2020/2/27,5
2020/2/28,7
2020/2/29,10
2020/3/1,17
2020/3/2,23
2020/3/3,32
2020/3/4,47
2020/3/5,75
2020/3/6,86
2020/3/7,110
2020/3/8,141
2020/3/9,179
2020/3/10,279
2020/3/11,338
2020/3/12,419
2020/3/13,511
2020/3/14,609
2020/3/15,675
2020/3/16,794
2020/3/17,908
2020/3/18,1026
2020/3/19,1228
2020/3/20,1404
2020/3/21,1655
2020/3/22,1844
2020/3/23,2101
2020/3/24,2469
2020/3/25,2585
2020/3/26,3208
2020/3/27,3770
2020/3/28,4311
2020/3/29,4897
2020/3/30,5180
2020/3/31,5293
2020/4/1,5589
2020/4/2,6586
2020/4/3,6967
2020/4/4,7499
2020/4/5,7985
2020/4/6,8385
2020/4/7,8683
2020/4/8,9098
2020/4/9,9609
2020/4/10,9888
2020/4/11,10227
2020/4/12,10414
2020/4/13,10547
2020/4/14,10711
2020/4/15,10806
2020/4/16,11180
2020/4/17,11479
2020/4/18,11850
2020/4/19,11864
2020/4/20,12255
2020/4/21,12410
2020/4/22,12606
2020/4/23,12981
2020/4/24,13197
2020/4/25,13565
2020/4/26,13744
2020/4/27,13958
2020/4/28,14165
2020/4/29,14490
2020/4/30,14814
2020/5/1,15134
2020/5/2,15383
2020/5/3,15943
2020/5/4,16047
2020/5/5,16234
2020/5/6,16873
2020/5/7,17187
2020/5/8,17477
2020/5/9,17629
2020/5/10,17781
2020/5/11,18172
2020/5/12,18382
2020/5/13,18492
2020/5/14,18861
2020/5/15,19131
2020/5/16,19336
2020/5/17,19514
2020/5/18,19756
2020/5/19,19988
2020/5/20,20110
2020/5/21,20280
2020/5/22,20526
2020/5/23,20740
2020/5/24,20989
2020/5/25,21265
2020/5/26,21538
2020/5/27,21825
2020/5/28,22091
2020/5/29,22377
2020/5/30,22618
2020/5/31,22814
2020/6/1,23272
2020/6/2,23608
2020/6/3,23776
2020/6/4,23999
2020/6/5,24546
2020/6/6,24767
2020/6/7,25064
2020/6/8,25593
2020/6/9,25796
2020/6/10,25940
2020/6/11,26172
2020/6/12,26576
2020/6/13,26920
2020/6/14,27135
2020/6/15,27577
2020/6/16,27949
2020/6/17,28270
2020/6/18,28663
2020/6/19,29045
2020/6/20,29466
2020/6/21,29797
2020/6/22,30443
2020/6/23,30778
2020/6/24,31400
2020/6/25,31998
2020/6/26,32489
2020/6/27,33031
2020/6/28,33341
2020/6/29,34036
2020/6/30,34541
2020/7/1,35258
2020/7/2,35921
2020/7/3,36417
2020/7/4,36799
2020/7/5,37468
2020/7/6,38517
2020/7/7,39063
2020/7/8,39661
2020/7/9,40369
2020/7/10,41090
2020/7/11,41326
2020/7/12,42181
2020/7/13,43538
2020/7/14,44257
2020/7/15,45004
2020/7/16,46268
2020/7/17,47226
2020/7/18,47889
2020/7/19,48601
2020/7/20,49949
2020/7/21,50746
2020/7/22,51442
2020/7/23,52255
2020/7/24,53278
2020/7/25,53883
2020/7/26,54421
2020/7/27,55547
2020/7/28,56575
2020/7/29,57299
2020/7/30,58099
2020/7/31,58725
2020/8/1,59648
2020/8/2,60160
2020/8/3,61011
2020/8/4,61828
2020/8/5,62389
2020/8/6,63056
2020/8/7,63975
2020/8/8,64346
2020/8/9,65248
2020/8/10,66225
2020/8/11,66619
2020/8/12,67170
2020/8/13,68095
2020/8/14,68581
2020/8/15,69136
2020/8/16,69894
2020/8/17,70509
2020/8/18,71032
2020/8/19,71594
2020/8/20,72284
2020/8/21,72787
2020/8/22,73353
2020/8/23,73745
2020/8/24,74292
2020/8/25,74634
2020/8/26,75207
2020/8/27,75752
2020/8/28,76397
2020/8/29,76834
2020/8/30,77122
2020/8/31,77718
2020/9/1,78061
2020/9/2,78554
2020/9/3,79120
2020/9/4,79721
2020/9/5,79900
2020/9/6,80369
2020/9/7,80485
2020/9/8,81048
2020/9/9,81528
2020/9/10,82125
2020/9/11,82590
2020/9/12,82957
2020/9/13,83177
2020/9/14,83861
2020/9/15,84222
2020/9/16,84714
2020/9/17,85101
2020/9/18,85583
2020/9/19,85886
2020/9/20,86169
2020/9/21,86803
2020/9/22,87233
2020/9/23,88042
2020/9/24,88597
2020/9/25,89149
2020/9/26,89514
2020/9/27,89822
2020/9/28,90596
2020/9/29,91011
2020/9/30,91560
2020/10/1,92166
2020/10/2,92727
2020/10/3,93160
2020/10/4,93527
2020/10/5,94202
2020/10/6,94694
2020/10/7,95500
2020/10/8,96227
2020/10/9,96837
2020/10/10,97223
2020/10/11,97527
2020/10/12,98265
2020/10/13,99311
2020/10/14,100068
2020/10/15,100838
2020/10/16,101533
2020/10/17,102054
2020/10/18,102403
2020/10/19,103323
2020/10/20,103845
2020/10/21,104624
2020/10/22,105364
2020/10/23,106189
2020/10/24,106772
2020/10/25,107270
2020/10/26,108393
2020/10/27,108966
2020/10/28,109865
2020/10/29,110748
2020/10/30,111893
2020/10/31,112580
2020/11/1,113109
2020/11/2,114787
2020/11/3,115608
2020/11/4,117091
2020/11/5,118459
2020/11/6,120123
2020/11/7,121220
2020/11/8,122310
2020/11/9,124560
2020/11/10,126091
2020/11/11,126886
2020/11/12,129672
2020/11/13,132183
2020/11/14,133612
2020/11/15,135365
2020/11/16,138602
2020/11/17,140923
2020/11/18,142511
2020/11/19,144968
2020/11/20,147251
2020/11/21,148691
2020/11/22,149703
2020/11/23,155336
2020/11/24,158234
2020/11/25,161207
2020/11/26,161911
2020/11/27,165230
2020/11/28,166736
2020/11/29,168333
2020/11/30,172175
2020/12/1,174969
2020/12/2,177929
2020/12/3,180125
2020/12/4,182758
2020/12/5,184079
2020/12/6,185505
2020/12/7,191468
2020/12/8,194788
2020/12/9,197973
2020/12/10,201179
2020/12/11,204484
2020/12/12,207399
2020/12/13,209385
2020/12/14,212342
2020/12/15,214085
2020/12/16,215310
2020/12/17,220628
2020/12/18,224594
2020/12/19,226551
2020/12/20,227049
2020/12/21,230642
2020/12/22,232204
2020/12/23,234832
2020/12/24,237269
2020/12/25,237689
2020/12/26,240763
2020/12/27,241036
2020/12/28,243547
2020/12/29,245692
2020/12/30,247455
2020/12/31,251064
2021/1/1,251585
2021/1/2,253290
2021/1/3,258557
2021/1/4,261328
2021/1/5,263713
2021/1/6,265790
2021/1/7,269033
2021/1/8,273142
2021/1/9,275832
2021/1/10,276333
2021/1/11,281071
2021/1/12,283363
2021/1/13,285690
2021/1/14,288127
2021/1/15,290288
2021/1/16,290896
2021/1/17,293296
2021/1/18,293739
2021/1/19,296519
2021/1/20,298487
2021/1/21,300420
2021/1/22,302546
2021/1/23,304107
2021/1/24,304523
2021/1/25,306489
2021/1/26,307880
2021/1/27,309604
2021/1/28,312042
2021/1/29,314033
2021/1/30,315448
2021/1/31,315769
2021/2/1,317703
2021/2/2,318967
2021/2/3,320502
2021/2/4,321940
2021/2/5,323334
2021/2/6,323748
2021/2/7,323947
2021/2/8,326625
2021/2/9,327397
2021/2/10,328246
2021/2/11,329170
2021/2/12,330427
2021/2/13,331033
2021/2/14,331164
2021/2/15,331305
2021/2/16,333185
2021/2/17,334284
2021/2/18,335338
2021/2/19,336184
2021/2/20,336819
2021/2/21,336945
2021/2/22,338309
2021/2/23,339051
2021/2/24,339913
2021/2/25,340997
2021/2/26,341941
2021/2/27,342574
2021/2/28,342644
2021/3/1,343723
2021/3/2,344516
2021/3/3,345193
2021/3/4,346030
2021/3/5,346733
2021/3/6,347301
2021/3/7,347391
2021/3/8,348485
2021/3/9,349196
2021/3/10,349881
2021/3/11,350661
2021/3/12,351419
2021/3/13,352116
2021/3/14,352225
2021/3/15,353344
2021/3/16,353981
2021/3/17,354906
2021/3/18,355706
2021/3/19,356637
2021/3/20,357376
2021/3/21,357420
2021/3/22,358727
2021/3/23,359290
2021/3/24,360203
2021/3/25,361300
2021/3/26,362403
2021/3/27,363588
2021/3/28,363659
2021/3/29,365029
2021/3/30,365816
2021/3/31,366907
2021/4/1,368049
2021/4/2,369319
2021/4/3,370362
2021/4/4,370409
2021/4/5,372631
2021/4/6,373227
2021/4/7,374402
2021/4/8,375381
2021/4/9,376812
2021/4/10,377979
2021/4/11,378052
2021/4/12,380554
2021/4/13,381537
2021/4/14,382627
2021/4/15,383951
2021/4/16,385695
2021/4/17,387312
2021/4/18,387382
2021/4/19,388842
2021/4/20,390415
2021/4/21,392013
2021/4/22,393514
2021/4/23,395354
2021/4/24,396890
2021/4/25,397006
2021/4/26,399327
2021/4/27,400386
2021/4/28,402049
2021/4/29,403589
2021/4/30,404972
2021/5/1,406546
2021/5/2,406659
2021/5/3,409151
2021/5/4,410494
2021/5/5,411842
2021/5/6,413004
2021/5/7,414479
2021/5/8,415873
2021/5/9,415942
2021/5/10,417677
2021/5/11,418879
2021/5/12,419977
2021/5/13,421279
2021/5/14,423721
2021/5/15,424499
2021/5/16,424581
2021/5/17,425382
2021/5/18,426058
2021/5/19,426949
2021/5/20,427913
2021/5/21,429514
2021/5/22,429514
2021/5/23,429526
2021/5/24,431446
2021/5/25,432490
2021/5/26,434154
2021/5/27,435680
2021/5/28,436741
2021/5/29,437492
2021/5/30,437492
2021/5/31,437500
2021/6/1,438918
2021/6/2,439675
2021/6/3,440538
2021/6/4,441271
2021/6/5,441926
2021/6/6,442006
2021/6/7,442762
2021/6/8,443564
2021/6/9,444159
2021/6/10,444922
2021/6/11,445488
2021/6/12,446034
2021/6/13,446091
2021/6/14,446778
2021/6/15,447266
2021/6/16,447781
2021/6/17,448263
2021/6/18,448716
2021/6/19,449108
2021/6/20,449170
2021/6/21,449829
2021/6/22,450253
2021/6/23,450995
2021/6/24,451560
2021/6/25,451980
2021/6/26,452327
2021/6/27,452390
2021/6/28,452960
2021/6/29,453307
2021/6/30,453630
2021/7/1,454087
2021/7/2,454484
2021/7/3,454484
2021/7/4,454484
2021/7/5,454484
