date,cases
2020/3/17,1
2020/3/18,2
2020/3/19,5
2020/3/20,8
2020/3/21,12
2020/3/22,16
2020/3/23,16
2020/3/24,39
2020/3/25,51
2020/3/26,76
2020/3/27,96
2020/3/28,113
2020/3/29,124
2020/3/30,145
2020/3/31,162
2020/4/1,191
2020/4/2,217
2020/4/3,242
2020/4/4,282
2020/4/5,325
2020/4/6,347
2020/4/7,413
2020/4/8,483
2020/4/9,524
2020/4/10,537
2020/4/11,593
2020/4/12,615
2020/4/13,638
2020/4/14,697
2020/4/15,725
2020/4/16,739
2020/4/17,776
2020/4/18,825
2020/4/19,890
2020/4/20,908
2020/4/21,929
2020/4/22,939
2020/4/23,981
2020/4/24,1010
2020/4/25,1025
2020/4/26,1054
2020/4/27,1078
2020/4/28,1096
2020/4/29,1110
2020/4/30,1126
2020/5/1,1152
2020/5/2,1185
2020/5/3,1196
2020/5/4,1225
2020/5/5,1243
2020/5/6,1277
2020/5/7,1298
2020/5/8,1324
2020/5/9,1348
2020/5/10,1363
2020/5/11,1370
2020/5/12,1379
2020/5/13,1405
2020/5/14,1435
2020/5/15,1448
2020/5/16,1470
2020/5/17,1492
2020/5/18,1502
2020/5/19,1514
2020/5/20,1567
2020/5/21,1603
2020/5/22,1705
2020/5/23,1729
2020/5/24,1771
2020/5/25,1782
2020/5/26,1854
2020/5/27,1899
2020/5/28,1935
2020/5/29,1972
2020/5/30,1989
2020/5/31,2010
2020/6/1,2028
2020/6/2,2056
2020/6/3,2077
2020/6/4,2102
2020/6/5,2119
2020/6/6,2136
2020/6/7,2144
2020/6/8,2161
2020/6/9,2179
2020/6/10,2193
2020/6/11,2217
2020/6/12,2249
2020/6/13,2274
2020/6/14,2290
2020/6/15,2322
2020/6/16,2341
2020/6/17,2376
2020/6/18,2418
2020/6/19,2468
2020/6/20,2500
2020/6/21,2543
2020/6/22,2571
2020/6/23,2593
2020/6/24,2629
2020/6/25,2693
2020/6/26,2729
2020/6/27,2781
2020/6/28,2831
2020/6/29,2869
2020/6/30,2904
2020/7/1,2979
2020/7/2,3053
2020/7/3,3126
2020/7/4,3205
2020/7/5,3335
2020/7/6,3442
2020/7/7,3505
2020/7/8,3707
2020/7/9,3826
2020/7/10,3983
2020/7/11,4146
2020/7/12,4244
2020/7/13,4313
2020/7/14,4407
2020/7/15,4557
2020/7/16,4657
2020/7/17,4783
2020/7/18,4922
2020/7/19,5042
2020/7/20,5142
2020/7/21,5199
2020/7/22,5461
2020/7/23,5550
2020/7/24,5695
2020/7/25,5821
2020/7/26,5960
2020/7/27,6054
2020/7/28,6173
2020/7/29,6326
2020/7/30,6422
2020/7/31,6642
2020/8/1,6735
2020/8/2,6854
2020/8/3,6973
2020/8/4,7051
2020/8/5,7159
2020/8/6,7277
2020/8/7,7433
2020/8/8,7563
2020/8/9,7694
2020/8/10,7754
2020/8/11,7875
2020/8/12,8008
2020/8/13,8151
2020/8/14,8274
2020/8/15,8457
2020/8/16,8564
2020/8/17,8632
2020/8/18,8731
2020/8/19,8801
2020/8/20,8982
2020/8/21,9066
2020/8/22,9185
2020/8/23,9272
2020/8/24,9312
2020/8/25,9395
2020/8/26,9540
2020/8/27,9633
2020/8/28,9824
2020/8/29,9967
2020/8/30,10110
2020/8/31,10250
2020/9/1,10507
2020/9/2,10642
2020/9/3,10845
2020/9/4,11037
2020/9/5,11289
2020/9/6,11412
2020/9/7,11575
2020/9/8,11661
2020/9/9,11808
2020/9/10,12017
2020/9/11,12174
2020/9/12,12521
2020/9/13,12699
2020/9/14,12820
2020/9/15,12976
2020/9/16,13196
2020/9/17,13430
2020/9/18,13683
2020/9/19,13874
2020/9/20,14054
2020/9/21,14171
2020/9/22,14384
2020/9/23,14504
2020/9/24,14706
2020/9/25,14953
2020/9/26,15158
2020/9/27,15348
2020/9/28,15512
2020/9/29,15692
2020/9/30,15848
2020/10/1,16024
2020/10/2,16307
2020/10/3,16468
2020/10/4,16628
2020/10/5,16742
2020/10/6,16936
2020/10/7,17139
2020/10/8,17325
2020/10/9,17707
2020/10/10,17913
2020/10/11,18128
2020/10/12,18281
2020/10/13,18555
2020/10/14,18818
2020/10/15,19082
2020/10/16,19580
2020/10/17,19801
2020/10/18,20081
2020/10/19,20293
2020/10/20,20519
2020/10/21,20734
2020/10/22,21057
2020/10/23,21392
2020/10/24,21712
2020/10/25,21906
2020/10/26,22223
2020/10/27,22706
2020/10/28,23064
2020/10/29,23466
2020/10/30,23990
2020/10/31,24460
2020/11/1,24883
2020/11/2,25235
2020/11/3,25593
2020/11/4,25987
2020/11/5,26547
2020/11/6,27087
2020/11/7,27742
2020/11/8,28404
2020/11/9,28805
2020/11/10,29316
2020/11/11,30201
2020/11/12,30897
2020/11/13,31639
2020/11/14,32792
2020/11/15,33659
2020/11/16,34460
2020/11/17,35324
2020/11/18,36277
2020/11/19,37399
2020/11/20,38480
2020/11/21,39598
2020/11/22,40478
2020/11/23,41114
2020/11/24,42083
2020/11/25,43050
2020/11/26,44180
2020/11/27,45046
2020/11/28,45845
