date,cases
2020/2/5,1
2020/2/6,1
2020/2/7,1
2020/2/8,1
2020/2/9,1
2020/2/10,1
2020/2/11,1
2020/2/12,1
2020/2/13,1
2020/2/14,1
2020/2/15,1
2020/2/16,1
2020/2/17,1
2020/2/18,1
2020/2/19,1
2020/2/20,1
2020/2/21,1
2020/2/22,1
2020/2/23,1
2020/2/24,1
2020/2/25,1
2020/2/26,1
2020/2/27,1
2020/2/28,1
2020/2/29,1
2020/3/1,1
2020/3/2,1
2020/3/3,1
2020/3/4,1
2020/3/5,1
2020/3/6,1
2020/3/7,1
2020/3/8,1
2020/3/9,2
2020/3/10,3
2020/3/11,6
2020/3/12,8
2020/3/13,19
2020/3/14,27
2020/3/15,33
2020/3/16,47
2020/3/17,72
2020/3/18,106
2020/3/19,155
2020/3/20,216
2020/3/21,281
2020/3/22,382
2020/3/23,418
2020/3/24,481
2020/3/25,623
2020/3/26,754
2020/3/27,930
2020/3/28,1042
2020/3/29,1120
2020/3/30,1269
2020/3/31,1351
2020/4/1,1552
2020/4/2,1730
2020/4/3,1916
2020/4/4,2112
2020/4/5,2267
2020/4/6,2440
2020/4/7,2578
2020/4/8,2756
2020/4/9,2885
2020/4/10,3068
2020/4/11,3213
2020/4/12,3341
2020/4/13,3428
2020/4/14,3555
2020/4/15,3721
2020/4/16,3875
2020/4/17,4045
2020/4/18,4199
2020/4/19,4346
2020/4/20,4564
2020/4/21,4691
2020/4/22,4915
2020/4/23,5125
2020/4/24,5431
2020/4/25,5762
2020/4/26,5986
2020/4/27,6164
2020/4/28,6389
2020/4/29,6621
2020/4/30,6973
2020/5/1,7439
2020/5/2,7785
2020/5/3,8089
2020/5/4,8362
2020/5/5,8696
2020/5/6,9052
2020/5/7,9369
2020/5/8,9750
2020/5/9,10099
2020/5/10,10379
2020/5/11,10581
2020/5/12,10781
2020/5/13,11071
2020/5/14,11449
2020/5/15,12037
2020/5/16,12551
2020/5/17,12754
2020/5/18,12912
2020/5/19,13200
2020/5/20,13779
2020/5/21,14172
2020/5/22,14768
2020/5/23,15196
2020/5/24,15573
2020/5/25,15857
2020/5/26,16141
2020/5/27,16786
2020/5/28,17476
2020/5/29,18050
2020/5/30,18515
2020/5/31,18684
2020/6/1,18825
2020/6/2,19223
2020/6/3,19896
2020/6/4,20359
2020/6/5,20723
2020/6/6,20997
2020/6/7,21246
2020/6/8,21463
2020/6/9,21738
2020/6/10,24091
2020/6/11,24411
2020/6/12,24733
2020/6/13,25026
2020/6/14,25307
2020/6/15,25530
2020/6/16,25829
2020/6/17,26167
2020/6/18,26611
2020/6/19,26913
2020/6/20,27314
2020/6/21,27598
2020/6/22,27849
2020/6/23,28187
2020/6/24,28652
2020/6/25,29204
2020/6/26,29718
2020/6/27,30235
2020/6/28,30716
2020/6/29,31103
2020/6/30,31723
2020/7/1,32307
2020/7/2,32876
2020/7/3,33565
2020/7/4,34243
2020/7/5,34750
2020/7/6,35318
2020/7/7,35834
2020/7/8,36526
2020/7/9,37358
2020/7/10,38414
2020/7/11,39095
2020/7/12,39901
2020/7/13,40603
2020/7/14,41516
2020/7/15,42409
2020/7/16,43361
2020/7/17,44243
2020/7/18,45118
2020/7/19,45953
2020/7/20,46754
2020/7/21,47893
2020/7/22,48777
2020/7/23,49751
2020/7/24,50895
2020/7/25,51735
2020/7/26,52685
2020/7/27,53323
2020/7/28,54114
2020/7/29,55119
2020/7/30,56111
2020/7/31,57020
2020/8/1,58064
2020/8/2,58990
2020/8/3,59471
2020/8/4,60263
2020/8/5,61247
2020/8/6,62139
2020/8/7,63256
2020/8/8,64231
2020/8/9,64835
2020/8/10,65427
2020/8/11,66146
2020/8/12,66705
2020/8/13,67781
2020/8/14,68761
2020/8/15,69560
2020/8/16,70246
2020/8/17,70796
2020/8/18,71517
2020/8/19,72204
2020/8/20,73067
2020/8/21,73895
2020/8/22,74740
2020/8/23,75205
2020/8/24,75755
2020/8/25,76453
2020/8/26,77220
2020/8/27,78136
2020/8/28,78984
2020/8/29,79767
2020/8/30,80311
2020/8/31,80733
2020/9/1,81688
2020/9/2,82261
2020/9/3,83119
2020/9/4,84519
2020/9/5,85517
2020/9/6,86406
2020/9/7,86981
2020/9/8,87730
2020/9/9,88643
2020/9/10,90232
2020/9/11,91672
2020/9/12,93102
2020/9/13,94723
2020/9/14,95564
2020/9/15,97002
2020/9/16,98501
2020/9/17,100619
2020/9/18,103211
2020/9/19,105609
2020/9/20,107343
2020/9/21,108656
2020/9/22,110393
2020/9/23,112276
2020/9/24,114743
2020/9/25,117355
2020/9/26,120249
2020/9/27,122498
2020/9/28,124320
2020/9/29,126744
2020/9/30,129172
2020/10/1,132176
2020/10/2,134996
2020/10/3,138018
2020/10/4,139941
2020/10/5,141780
2020/10/6,143886
2020/10/7,146376
2020/10/8,149613
2020/10/9,152831
2020/10/10,155752
2020/10/11,158426
2020/10/12,160655
2020/10/13,164137
2020/10/14,167441
2020/10/15,171480
2020/10/16,175652
2020/10/17,175652
2020/10/18,175652
2020/10/19,183177
2020/10/20,187898
2020/10/21,192225
2020/10/22,195853
2020/10/23,200479
2020/10/24,205139
2020/10/25,208917
2020/10/26,212116
2020/10/27,217447
2020/10/28,221578
2020/10/29,226712
2020/10/30,232092
2020/10/31,237870
2020/11/1,241423
2020/11/2,244974
2020/11/3,251227
2020/11/4,257365
2020/11/5,263640
2020/11/6,270074
2020/11/7,277568
2020/11/8,281910
2020/11/9,286446
2020/11/10,293862
2020/11/11,301349
2020/11/12,309605
2020/11/13,318023
2020/11/14,323604
2020/11/15,329924
2020/11/16,334640
2020/11/17,342155
2020/11/18,350665
2020/11/19,358113
2020/11/20,365190
2020/11/21,372219
2020/11/22,376238
2020/11/23,379693
2020/11/24,386441
2020/11/25,392443
2020/11/26,398104
2020/11/27,399557
2020/11/28,404999
2020/11/29,409054
2020/11/30,411730
2020/12/1,416365
2020/12/2,420930
2020/12/3,426534
2020/12/4,432217
2020/12/5,437918
2020/12/6,441067
2020/12/7,443415
2020/12/8,448009
2020/12/9,452180
2020/12/10,456889
2020/12/11,461367
2020/12/12,465991
2020/12/13,468956
2020/12/14,471285
2020/12/15,475340
2020/12/16,478162
2020/12/17,482443
2020/12/18,486364
2020/12/19,490679
2020/12/20,492724
2020/12/21,494353
2020/12/22,497380
2020/12/23,500443
2020/12/24,503706
2020/12/25,505345
2020/12/26,506022
2020/12/27,508580
2020/12/28,510137
2020/12/29,513056
2020/12/30,516226
2020/12/31,520438
2021/1/1,522523
2021/1/2,523652
2021/1/3,526245
2021/1/4,527871
2021/1/5,531890
2021/1/6,535999
2021/1/7,540508
2021/1/8,544618
2021/1/9,548134
2021/1/10,550260
2021/1/11,551942
2021/1/12,555249
2021/1/13,558020
2021/1/14,561160
2021/1/15,563866
2021/1/16,566275
2021/1/17,568166
2021/1/18,569335
2021/1/19,571268
2021/1/20,573119
2021/1/21,575688
2021/1/22,577991
2021/1/23,580003
2021/1/24,581377
2021/1/25,582477
2021/1/26,584041
2021/1/27,585600
2021/1/28,587580
2021/1/29,589384
2021/1/30,590997
2021/1/31,592140
2021/2/1,592921
2021/2/2,594217
2021/2/3,595756
2021/2/4,597475
2021/2/5,598902
2021/2/6,600016
2021/2/7,600782
2021/2/8,601391
2021/2/9,602256
2021/2/10,603257
2021/2/11,604683
2021/2/12,605785
2021/2/13,606651
2021/2/14,607213
2021/2/15,607639
2021/2/16,608420
2021/2/17,609192
2021/2/18,610056
2021/2/19,610974
