date,cases
2020/3/11,1
2020/3/12,1
2020/3/13,2
2020/3/14,3
2020/3/15,3
2020/3/16,10
2020/3/17,15
2020/3/18,17
2020/3/19,18
2020/3/20,22
2020/3/21,24
2020/3/22,26
2020/3/23,28
2020/3/24,37
2020/3/25,49
2020/3/26,56
2020/3/27,74
2020/3/28,85
2020/3/29,88
2020/3/30,96
2020/3/31,121
2020/4/1,138
2020/4/2,154
2020/4/3,167
2020/4/4,189
2020/4/5,200
2020/4/6,213
2020/4/7,221
2020/4/8,230
2020/4/9,303
2020/4/10,320
2020/4/11,343
2020/4/12,364
2020/4/13,373
2020/4/14,373
2020/4/15,392
2020/4/16,393
2020/4/17,401
2020/4/18,412
2020/4/19,422
2020/4/20,426
2020/4/21,442
2020/4/22,447
2020/4/23,453
2020/4/24,473
2020/4/25,477
2020/4/26,502
2020/4/27,520
2020/4/28,536
2020/4/29,544
2020/4/30,559
2020/5/1,566
2020/5/2,579
2020/5/3,586
2020/5/4,596
2020/5/5,604
2020/5/6,631
2020/5/7,635
2020/5/8,644
2020/5/9,653
2020/5/10,662
2020/5/11,669
2020/5/12,675
2020/5/13,688
2020/5/14,701
2020/5/15,716
2020/5/16,741
2020/5/17,754
2020/5/18,766
2020/5/19,776
2020/5/20,787
2020/5/21,801
2020/5/22,803
2020/5/23,813
2020/5/24,813
2020/5/25,843
2020/5/26,850
2020/5/27,860
2020/5/28,876
2020/5/29,891
2020/5/30,898
2020/5/31,903
2020/6/1,910
2020/6/2,912
2020/6/3,915
2020/6/4,921
2020/6/5,933
2020/6/6,939
2020/6/7,947
2020/6/8,960
2020/6/9,970
2020/6/10,980
2020/6/11,1009
2020/6/12,1027
2020/6/13,1050
2020/6/14,1060
2020/6/15,1079
2020/6/16,1089
2020/6/17,1114
2020/6/18,1144
2020/6/19,1173
2020/6/20,1179
2020/6/21,1197
2020/6/22,1230
2020/6/23,1254
2020/6/24,1282
2020/6/25,1326
2020/6/26,1368
2020/6/27,1392
2020/6/28,1417
2020/6/29,1450
2020/6/30,1487
2020/7/1,1514
2020/7/2,1550
2020/7/3,1582
2020/7/4,1606
2020/7/5,1634
2020/7/6,1675
2020/7/7,1711
2020/7/8,1740
2020/7/9,1774
2020/7/10,1790
2020/7/11,1839
2020/7/12,1862
2020/7/13,1903
2020/7/14,1951
2020/7/15,1985
2020/7/16,2026
2020/7/17,2069
2020/7/18,2108
2020/7/19,2126
2020/7/20,2187
2020/7/21,2238
2020/7/22,2288
2020/7/23,2347
2020/7/24,2405
2020/7/25,2446
2020/7/26,2475
2020/7/27,2520
2020/7/28,2589
2020/7/29,2628
2020/7/30,2686
2020/7/31,2726
2020/8/1,2769
2020/8/2,2808
2020/8/3,2848
2020/8/4,2884
2020/8/5,2923
2020/8/6,2958
2020/8/7,3000
2020/8/8,3013
2020/8/9,3050
2020/8/10,3042
2020/8/11,3073
2020/8/12,3086
2020/8/13,3119
2020/8/14,3183
2020/8/15,3227
2020/8/16,3286
2020/8/17,3331
2020/8/18,3360
2020/8/19,3430
2020/8/20,3468
2020/8/21,3524
2020/8/22,3543
2020/8/23,3579
2020/8/24,3603
2020/8/25,3634
2020/8/26,3684
2020/8/27,3722
