date,cases
2020/1/22,0
2020/1/23,2
2020/1/24,2
2020/1/25,3
2020/1/26,4
2020/1/27,5
2020/1/28,10
2020/1/29,13
2020/1/30,14
2020/1/31,17
2020/2/1,18
2020/2/2,21
2020/2/3,24
2020/2/4,29
2020/2/5,32
2020/2/6,36
2020/2/7,39
2020/2/8,42
2020/2/9,45
2020/2/10,49
2020/2/11,55
2020/2/12,59
2020/2/13,63
2020/2/14,65
2020/2/15,70
2020/2/16,71
2020/2/17,75
2020/2/18,76
2020/2/19,76
2020/2/20,76
2020/2/21,76
2020/2/22,76
2020/2/23,76
2020/2/24,76
2020/2/25,76
2020/2/26,76
2020/2/27,76
2020/2/28,76
2020/2/29,76
2020/3/1,76
2020/3/2,76
2020/3/3,76
2020/3/4,76
2020/3/5,76
2020/3/6,76
2020/3/7,76
2020/3/8,76
2020/3/9,76
2020/3/10,76
2020/3/11,76
2020/3/12,76
2020/3/13,76
2020/3/14,76
2020/3/15,76
2020/3/16,76
2020/3/17,76
2020/3/18,76
2020/3/19,76
2020/3/20,76
2020/3/21,76
2020/3/22,76
2020/3/23,76
2020/3/24,76
2020/3/25,76
2020/3/26,76
2020/3/27,76
2020/3/28,76
2020/3/29,76
2020/3/30,76
2020/3/31,76
2020/4/1,76
2020/4/2,76
2020/4/3,76
2020/4/4,76
2020/4/5,76
2020/4/6,76
2020/4/7,76
2020/4/8,76
2020/4/9,76
2020/4/10,76
2020/4/11,76
2020/4/12,76
2020/4/13,76
2020/4/14,76
2020/4/15,76
2020/4/16,76
2020/4/17,76
2020/4/18,76
2020/4/19,76
2020/4/20,76
2020/4/21,76
2020/4/22,76
2020/4/23,76
2020/4/24,76
2020/4/25,76
2020/4/26,76
2020/4/27,76
2020/4/28,76
2020/4/29,76
2020/4/30,76
2020/5/1,76
2020/5/2,76
2020/5/3,76
2020/5/4,76
2020/5/5,76
2020/5/6,76
2020/5/7,76
2020/5/8,76
2020/5/9,76
2020/5/10,76
2020/5/11,76
2020/5/12,76
2020/5/13,76
2020/5/14,76
2020/5/15,76
2020/5/16,76
2020/5/17,76
2020/5/18,76
2020/5/19,76
2020/5/20,76
2020/5/21,76
2020/5/22,76
2020/5/23,76
2020/5/24,76
2020/5/25,76
2020/5/26,76
2020/5/27,76
2020/5/28,76
2020/5/29,76
2020/5/30,76
2020/5/31,76
2020/6/1,76
2020/6/2,76
2020/6/3,76
2020/6/4,76
2020/6/5,76
2020/6/6,76
2020/6/7,76
2020/6/8,76
2020/6/9,76
2020/6/10,76
2020/6/11,76
2020/6/12,76
2020/6/13,76
2020/6/14,76
2020/6/15,76
2020/6/16,76
2020/6/17,76
2020/6/18,76
2020/6/19,76
2020/6/20,76
2020/6/21,76
2020/6/22,76
2020/6/23,76
2020/6/24,76
2020/6/25,76
2020/6/26,76
2020/6/27,76
2020/6/28,76
2020/6/29,76
2020/6/30,76
2020/7/1,76
2020/7/2,76
2020/7/3,76
2020/7/4,76
2020/7/5,76
2020/7/6,76
2020/7/7,76
2020/7/8,76
2020/7/9,76
2020/7/10,76
2020/7/11,76
2020/7/12,76
2020/7/13,76
2020/7/14,76
2020/7/15,76
2020/7/16,82
2020/7/17,93
2020/7/18,106
2020/7/19,123
2020/7/20,131
2020/7/21,140
2020/7/22,158
2020/7/23,171
2020/7/24,191
2020/7/25,213
2020/7/26,254
2020/7/27,311
2020/7/28,400
2020/7/29,496
2020/7/30,608
2020/7/31,639
2020/8/1,668
2020/8/2,696
2020/8/3,724
2020/8/4,746
2020/8/5,773
2020/8/6,799
2020/8/7,824
2020/8/8,839
2020/8/9,853
2020/8/10,866
2020/8/11,875
2020/8/12,883
2020/8/13,891
2020/8/14,898
2020/8/15,902
2020/8/16,902
2020/8/17,902
2020/8/18,902
2020/8/19,902
2020/8/20,902
2020/8/21,902
2020/8/22,902
2020/8/23,902
2020/8/24,902
2020/8/25,902
2020/8/26,902
2020/8/27,902
2020/8/28,902
2020/8/29,902
2020/8/30,902
2020/8/31,902
2020/9/1,902
2020/9/2,902
2020/9/3,902
2020/9/4,902
2020/9/5,902
2020/9/6,902
2020/9/7,902
2020/9/8,902
2020/9/9,902
2020/9/10,902
2020/9/11,902
2020/9/12,902
2020/9/13,902
2020/9/14,902
2020/9/15,902
2020/9/16,902
2020/9/17,902
2020/9/18,902
2020/9/19,902
2020/9/20,902
2020/9/21,902
2020/9/22,902
2020/9/23,902
2020/9/24,902
2020/9/25,902
2020/9/26,902
2020/9/27,902
2020/9/28,902
2020/9/29,902
2020/9/30,902
2020/10/1,902
2020/10/2,902
2020/10/3,902
2020/10/4,902
2020/10/5,902
2020/10/6,902
2020/10/7,902
2020/10/8,902
2020/10/9,902
2020/10/10,902
2020/10/11,902
2020/10/12,902
2020/10/13,902
2020/10/14,902
2020/10/15,902
2020/10/16,902
2020/10/17,902
2020/10/18,902
2020/10/19,902
2020/10/20,902
2020/10/21,902
2020/10/22,902
2020/10/23,902
2020/10/24,902
2020/10/25,902
2020/10/26,902
2020/10/27,924
2020/10/28,947
2020/10/29,947
2020/10/30,953
2020/10/31,956
2020/11/1,959
2020/11/2,964
2020/11/3,966
2020/11/4,974
2020/11/5,980
2020/11/6,980
2020/11/7,980
2020/11/8,980
2020/11/9,980
2020/11/10,980
2020/11/11,980
2020/11/12,980
2020/11/13,980
2020/11/14,980
2020/11/15,980
2020/11/16,980
2020/11/17,980
2020/11/18,980
2020/11/19,980
2020/11/20,980
2020/11/21,980
2020/11/22,980
2020/11/23,980
2020/11/24,980
2020/11/25,980
2020/11/26,980
2020/11/27,980
2020/11/28,980
2020/11/29,980
2020/11/30,980
2020/12/1,980
2020/12/2,980
2020/12/3,980
2020/12/4,980
2020/12/5,980
2020/12/6,980
2020/12/7,980
2020/12/8,980
2020/12/9,980
2020/12/10,980
2020/12/11,980
2020/12/12,980
2020/12/13,980
2020/12/14,980
2020/12/15,980
2020/12/16,980
2020/12/17,980
2020/12/18,980
2020/12/19,980
2020/12/20,980
2020/12/21,980
2020/12/22,980
2020/12/23,980
2020/12/24,980
2020/12/25,980
2020/12/26,980
2020/12/27,980
2020/12/28,980
2020/12/29,980
2020/12/30,980
2020/12/31,980
2021/1/1,980
2021/1/2,980
2021/1/3,980
2021/1/4,980
2021/1/5,980
2021/1/6,980
2021/1/7,980
2021/1/8,980
2021/1/9,980
2021/1/10,980
2021/1/11,980
2021/1/12,980
2021/1/13,980
2021/1/14,980
2021/1/15,980
2021/1/16,980
2021/1/17,980
2021/1/18,980
2021/1/19,980
2021/1/20,980
2021/1/21,980
2021/1/22,980
2021/1/23,980
2021/1/24,980
2021/1/25,980
2021/1/26,980
2021/1/27,980
2021/1/28,980
2021/1/29,980
2021/1/30,980
2021/1/31,980
2021/2/1,980
2021/2/2,980
2021/2/3,980
2021/2/4,980
2021/2/5,980
2021/2/6,980
2021/2/7,980
2021/2/8,980
2021/2/9,980
2021/2/10,980
2021/2/11,980
2021/2/12,980
2021/2/13,980
2021/2/14,980
2021/2/15,980
2021/2/16,980
2021/2/17,980
2021/2/18,980
2021/2/19,980
2021/2/20,980
2021/2/21,980
2021/2/22,980
2021/2/23,980
2021/2/24,980
2021/2/25,980
2021/2/26,980
2021/2/27,980
2021/2/28,980
2021/3/1,980
2021/3/2,980
2021/3/3,980
2021/3/4,980
2021/3/5,980
2021/3/6,980
2021/3/7,980
2021/3/8,980
2021/3/9,980
2021/3/10,980
2021/3/11,980
2021/3/12,980
2021/3/13,980
2021/3/14,980
2021/3/15,980
2021/3/16,980
2021/3/17,980
2021/3/18,980
2021/3/19,980
2021/3/20,980
2021/3/21,980
2021/3/22,980
2021/3/23,980
2021/3/24,980
2021/3/25,980
2021/3/26,980
2021/3/27,980
2021/3/28,980
2021/3/29,980
2021/3/30,980
2021/3/31,980
2021/4/1,980
2021/4/2,980
2021/4/3,980
2021/4/4,980
2021/4/5,980
2021/4/6,980
2021/4/7,980
2021/4/8,980
2021/4/9,980
2021/4/10,980
2021/4/11,980
2021/4/12,980
2021/4/13,980
2021/4/14,980
2021/4/15,980
2021/4/16,980
2021/4/17,980
2021/4/18,980
2021/4/19,980
2021/4/20,980
2021/4/21,980
2021/4/22,980
2021/4/23,980
2021/4/24,980
2021/4/25,980
2021/4/26,980
2021/4/27,980
2021/4/28,980
2021/4/29,980
2021/4/30,980
2021/5/1,980
2021/5/2,980
2021/5/3,980
2021/5/4,980
2021/5/5,980
2021/5/6,980
2021/5/7,980
2021/5/8,980
2021/5/9,980
2021/5/10,980
2021/5/11,980
2021/5/12,980
2021/5/13,980
2021/5/14,980
2021/5/15,980
2021/5/16,980
2021/5/17,980
2021/5/18,980
2021/5/19,980
2021/5/20,980
2021/5/21,980
2021/5/22,980
2021/5/23,980
2021/5/24,980
2021/5/25,980
2021/5/26,980
2021/5/27,980
2021/5/28,980
2021/5/29,980
2021/5/30,980
2021/5/31,980
2021/6/1,980
2021/6/2,980
2021/6/3,980
2021/6/4,980
2021/6/5,980
2021/6/6,980
2021/6/7,980
2021/6/8,980
2021/6/9,980
2021/6/10,980
2021/6/11,980
2021/6/12,980
2021/6/13,980
2021/6/14,980
2021/6/15,980
2021/6/16,980
2021/6/17,980
2021/6/18,980
2021/6/19,980
2021/6/20,980
2021/6/21,980
2021/6/22,980
2021/6/23,980
2021/6/24,980
2021/6/25,980
2021/6/26,980
2021/6/27,980
2021/6/28,980
2021/6/29,980
2021/6/30,980
2021/7/1,980
2021/7/2,980
2021/7/3,980
2021/7/4,980
2021/7/5,980
2021/7/6,980
2021/7/7,980
2021/7/8,980
2021/7/9,980
2021/7/10,980
2021/7/11,980
2021/7/12,980
2021/7/13,980
2021/7/14,980
2021/7/15,980
2021/7/16,980
2021/7/17,980
2021/7/18,980
2021/7/19,980
2021/7/20,980
2021/7/21,980
2021/7/22,980
2021/7/23,980
2021/7/24,980
2021/7/25,980
2021/7/26,980
2021/7/27,980
2021/7/28,980
2021/7/29,980
2021/7/30,980
2021/7/31,980
2021/8/1,980
2021/8/2,980
2021/8/3,980
2021/8/4,980
2021/8/5,980
2021/8/6,980
2021/8/7,980
2021/8/8,980
2021/8/9,980
2021/8/10,980
2021/8/11,980
2021/8/12,980
2021/8/13,980
2021/8/14,980
2021/8/15,980
2021/8/16,980
2021/8/17,980
2021/8/18,980
2021/8/19,980
2021/8/20,980
2021/8/21,980
2021/8/22,980
2021/8/23,980
2021/8/24,980
2021/8/25,980
2021/8/26,980
2021/8/27,980
2021/8/28,980
2021/8/29,980
2021/8/30,980
2021/8/31,980
2021/9/1,980
2021/9/2,980
2021/9/3,980
2021/9/4,980
2021/9/5,980
2021/9/6,980
2021/9/7,980
2021/9/8,980
2021/9/9,980
2021/9/10,980
2021/9/11,980
2021/9/12,980
2021/9/13,980
2021/9/14,980
2021/9/15,980
2021/9/16,980
2021/9/17,980
2021/9/18,980
2021/9/19,980
2021/9/20,980
2021/9/21,980
2021/9/22,980
2021/9/23,980
2021/9/24,980
2021/9/25,980
2021/9/26,980
2021/9/27,980
2021/9/28,980
2021/9/29,980
