date,cases
2020/1/22,1
2020/1/23,2
2020/1/24,5
2020/1/25,11
2020/1/26,16
2020/1/27,26
2020/1/28,44
2020/1/29,55
2020/1/30,70
2020/1/31,83
2020/2/1,93
2020/2/2,105
2020/2/3,117
2020/2/4,122
2020/2/5,128
2020/2/6,133
2020/2/7,138
2020/2/8,138
2020/2/9,141
2020/2/10,149
2020/2/11,153
2020/2/12,154
2020/2/13,156
2020/2/14,162
2020/2/15,168
2020/2/16,171
2020/2/17,171
2020/2/18,172
2020/2/19,172
2020/2/20,174
2020/2/21,174
2020/2/22,174
2020/2/23,174
2020/2/24,174
2020/2/25,174
2020/2/26,174
2020/2/27,174
2020/2/28,174
2020/2/29,174
2020/3/1,174
2020/3/2,174
2020/3/3,174
2020/3/4,174
2020/3/5,174
2020/3/6,174
2020/3/7,174
2020/3/8,174
2020/3/9,174
2020/3/10,174
2020/3/11,174
2020/3/12,174
2020/3/13,174
2020/3/14,174
2020/3/15,174
2020/3/16,176
2020/3/17,176
2020/3/18,176
2020/3/19,176
2020/3/20,176
2020/3/21,176
2020/3/22,176
2020/3/23,176
2020/3/24,176
2020/3/25,176
2020/3/26,178
2020/3/27,180
2020/3/28,180
2020/3/29,180
2020/3/30,180
2020/3/31,182
2020/4/1,182
2020/4/2,183
2020/4/3,184
2020/4/4,184
2020/4/5,184
2020/4/6,184
2020/4/7,184
2020/4/8,184
2020/4/9,184
2020/4/10,184
2020/4/11,184
2020/4/12,184
2020/4/13,184
2020/4/14,184
2020/4/15,184
2020/4/16,184
2020/4/17,184
2020/4/18,184
2020/4/19,184
2020/4/20,184
2020/4/21,184
2020/4/22,184
2020/4/23,184
2020/4/24,185
2020/4/25,185
2020/4/26,185
2020/4/27,185
2020/4/28,185
2020/4/29,185
2020/4/30,185
2020/5/1,185
2020/5/2,185
2020/5/3,185
2020/5/4,185
2020/5/5,185
2020/5/6,185
2020/5/7,185
2020/5/8,185
2020/5/9,185
2020/5/10,185
2020/5/11,185
2020/5/12,185
2020/5/13,185
2020/5/14,185
2020/5/15,185
2020/5/16,185
2020/5/17,185
2020/5/18,185
2020/5/19,185
2020/5/20,185
2020/5/21,185
2020/5/22,185
2020/5/23,185
2020/5/24,185
2020/5/25,185
2020/5/26,185
2020/5/27,185
2020/5/28,185
2020/5/29,185
2020/5/30,185
2020/5/31,185
2020/6/1,185
2020/6/2,185
2020/6/3,185
2020/6/4,185
2020/6/5,185
2020/6/6,185
