date,cases
2020/1/22,10
2020/1/23,27
2020/1/24,43
2020/1/25,62
2020/1/26,104
2020/1/27,128
2020/1/28,173
2020/1/29,296
2020/1/30,428
2020/1/31,538
2020/2/1,599
2020/2/2,661
2020/2/3,724
2020/2/4,829
2020/2/5,895
2020/2/6,954
2020/2/7,1006
2020/2/8,1048
2020/2/9,1075
2020/2/10,1092
2020/2/11,1117
2020/2/12,1131
2020/2/13,1145
2020/2/14,1155
2020/2/15,1162
2020/2/16,1167
2020/2/17,1171
2020/2/18,1172
2020/2/19,1174
2020/2/20,1175
2020/2/21,1203
2020/2/22,1205
2020/2/23,1205
2020/2/24,1205
2020/2/25,1205
2020/2/26,1205
2020/2/27,1205
2020/2/28,1205
2020/2/29,1205
2020/3/1,1205
2020/3/2,1206
2020/3/3,1213
2020/3/4,1213
2020/3/5,1215
2020/3/6,1215
2020/3/7,1215
2020/3/8,1215
2020/3/9,1215
2020/3/10,1215
2020/3/11,1215
2020/3/12,1215
2020/3/13,1215
2020/3/14,1227
2020/3/15,1231
2020/3/16,1231
2020/3/17,1232
2020/3/18,1232
2020/3/19,1233
2020/3/20,1234
2020/3/21,1236
2020/3/22,1238
2020/3/23,1238
2020/3/24,1240
2020/3/25,1241
2020/3/26,1243
2020/3/27,1247
2020/3/28,1251
2020/3/29,1254
2020/3/30,1255
2020/3/31,1257
2020/4/1,1257
2020/4/2,1258
2020/4/3,1260
2020/4/4,1262
2020/4/5,1263
2020/4/6,1264
2020/4/7,1265
2020/4/8,1266
2020/4/9,1267
2020/4/10,1267
2020/4/11,1267
2020/4/12,1267
2020/4/13,1267
2020/4/14,1267
2020/4/15,1268
2020/4/16,1268
2020/4/17,1268
2020/4/18,1268
2020/4/19,1268
2020/4/20,1268
2020/4/21,1268
2020/4/22,1268
2020/4/23,1268
2020/4/24,1268
2020/4/25,1268
2020/4/26,1268
2020/4/27,1268
2020/4/28,1268
2020/4/29,1268
2020/4/30,1268
2020/5/1,1268
2020/5/2,1268
2020/5/3,1268
2020/5/4,1268
2020/5/5,1268
2020/5/6,1268
2020/5/7,1268
2020/5/8,1268
2020/5/9,1268
2020/5/10,1268
2020/5/11,1268
2020/5/12,1268
2020/5/13,1268
2020/5/14,1268
2020/5/15,1268
2020/5/16,1268
2020/5/17,1268
2020/5/18,1268
2020/5/19,1268
2020/5/20,1268
2020/5/21,1268
2020/5/22,1268
2020/5/23,1268
2020/5/24,1268
2020/5/25,1268
2020/5/26,1268
2020/5/27,1268
2020/5/28,1268
2020/5/29,1268
2020/5/30,1268
2020/5/31,1268
2020/6/1,1268
2020/6/2,1268
2020/6/3,1268
2020/6/4,1268
2020/6/5,1268
2020/6/6,1268
2020/6/7,1268
2020/6/8,1268
2020/6/9,1268
2020/6/10,1268
2020/6/11,1268
2020/6/12,1268
2020/6/13,1268
2020/6/14,1268
2020/6/15,1268
2020/6/16,1269
2020/6/17,1269
2020/6/18,1269
2020/6/19,1269
2020/6/20,1269
2020/6/21,1269
2020/6/22,1269
2020/6/23,1269
2020/6/24,1269
2020/6/25,1269
2020/6/26,1269
2020/6/27,1269
2020/6/28,1269
2020/6/29,1269
2020/6/30,1269
2020/7/1,1269
2020/7/2,1269
2020/7/3,1269
2020/7/4,1269
2020/7/5,1269
2020/7/6,1269
2020/7/7,1269
2020/7/8,1269
2020/7/9,1269
2020/7/10,1269
2020/7/11,1270
2020/7/12,1270
2020/7/13,1270
2020/7/14,1270
2020/7/15,1270
2020/7/16,1270
2020/7/17,1270
2020/7/18,1270
2020/7/19,1270
2020/7/20,1270
2020/7/21,1270
2020/7/22,1270
2020/7/23,1270
2020/7/24,1270
2020/7/25,1270
2020/7/26,1270
2020/7/27,1270
2020/7/28,1270
2020/7/29,1270
2020/7/30,1270
2020/7/31,1270
2020/8/1,1270
2020/8/2,1270
2020/8/3,1270
2020/8/4,1270
2020/8/5,1270
2020/8/6,1270
2020/8/7,1271
2020/8/8,1272
2020/8/9,1273
2020/8/10,1274
2020/8/11,1275
2020/8/12,1275
2020/8/13,1275
2020/8/14,1275
2020/8/15,1275
2020/8/16,1275
2020/8/17,1275
2020/8/18,1277
2020/8/19,1277
2020/8/20,1277
2020/8/21,1277
2020/8/22,1277
2020/8/23,1277
2020/8/24,1277
2020/8/25,1277
2020/8/26,1277
2020/8/27,1277
2020/8/28,1277
2020/8/29,1277
2020/8/30,1278
2020/8/31,1278
2020/9/1,1278
2020/9/2,1278
2020/9/3,1278
2020/9/4,1278
2020/9/5,1278
2020/9/6,1278
2020/9/7,1278
2020/9/8,1278
2020/9/9,1278
2020/9/10,1278
2020/9/11,1278
2020/9/12,1280
2020/9/13,1280
2020/9/14,1281
2020/9/15,1282
2020/9/16,1282
2020/9/17,1282
2020/9/18,1282
2020/9/19,1282
2020/9/20,1282
2020/9/21,1282
2020/9/22,1282
2020/9/23,1282
2020/9/24,1282
2020/9/25,1282
2020/9/26,1282
2020/9/27,1282
2020/9/28,1282
2020/9/29,1282
2020/9/30,1282
2020/10/1,1282
2020/10/2,1282
2020/10/3,1282
2020/10/4,1282
2020/10/5,1282
2020/10/6,1282
2020/10/7,1283
2020/10/8,1283
2020/10/9,1283
2020/10/10,1283
2020/10/11,1283
2020/10/12,1283
2020/10/13,1283
2020/10/14,1283
2020/10/15,1283
2020/10/16,1283
2020/10/17,1283
2020/10/18,1283
2020/10/19,1283
2020/10/20,1283
2020/10/21,1283
2020/10/22,1283
2020/10/23,1283
2020/10/24,1283
2020/10/25,1283
2020/10/26,1283
2020/10/27,1283
2020/10/28,1283
2020/10/29,1283
2020/10/30,1286
2020/10/31,1286
2020/11/1,1286
2020/11/2,1287
2020/11/3,1287
2020/11/4,1287
2020/11/5,1288
2020/11/6,1288
2020/11/7,1290
2020/11/8,1290
2020/11/9,1291
2020/11/10,1291
2020/11/11,1291
2020/11/12,1291
2020/11/13,1291
2020/11/14,1291
2020/11/15,1291
2020/11/16,1291
2020/11/17,1291
2020/11/18,1292
2020/11/19,1292
2020/11/20,1292
2020/11/21,1293
2020/11/22,1293
2020/11/23,1293
2020/11/24,1293
2020/11/25,1293
2020/11/26,1293
2020/11/27,1294
2020/11/28,1294
2020/11/29,1294
2020/11/30,1294
2020/12/1,1294
2020/12/2,1294
2020/12/3,1294
2020/12/4,1294
2020/12/5,1294
2020/12/6,1295
2020/12/7,1295
2020/12/8,1295
2020/12/9,1295
2020/12/10,1295
2020/12/11,1296
2020/12/12,1296
2020/12/13,1297
2020/12/14,1297
2020/12/15,1297
2020/12/16,1297
2020/12/17,1297
2020/12/18,1298
2020/12/19,1299
2020/12/20,1299
2020/12/21,1299
2020/12/22,1300
2020/12/23,1300
2020/12/24,1300
2020/12/25,1300
2020/12/26,1302
2020/12/27,1305
2020/12/28,1305
2020/12/29,1306
2020/12/30,1306
2020/12/31,1306
2021/1/1,1306
2021/1/2,1306
2021/1/3,1306
2021/1/4,1306
2021/1/5,1306
2021/1/6,1306
2021/1/7,1306
2021/1/8,1306
2021/1/9,1308
2021/1/10,1308
2021/1/11,1308
2021/1/12,1308
2021/1/13,1308
2021/1/14,1309
2021/1/15,1309
2021/1/16,1309
2021/1/17,1311
2021/1/18,1314
2021/1/19,1316
2021/1/20,1316
2021/1/21,1316
2021/1/22,1316
2021/1/23,1316
2021/1/24,1316
2021/1/25,1316
2021/1/26,1316
2021/1/27,1316
2021/1/28,1316
2021/1/29,1316
2021/1/30,1316
2021/1/31,1316
2021/2/1,1316
2021/2/2,1316
2021/2/3,1316
2021/2/4,1316
2021/2/5,1316
2021/2/6,1316
2021/2/7,1316
2021/2/8,1317
2021/2/9,1320
2021/2/10,1320
2021/2/11,1320
2021/2/12,1320
2021/2/13,1320
2021/2/14,1320
2021/2/15,1320
2021/2/16,1320
2021/2/17,1320
2021/2/18,1320
2021/2/19,1320
2021/2/20,1320
2021/2/21,1320
2021/2/22,1320
2021/2/23,1321
2021/2/24,1321
2021/2/25,1321
